                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6422,                 3.0591,                 2.7802,                0.00032,                  0.025,                 0.0002,                  3e-05,                 3.6913,                 9.5834,                 6.3685,                    0.1,                      0,                      0
                      1,                 2.8961,                  3.961,                 3.3406,                0.00058,                  0.125,                0.00079,                0.00031,                 3.6235,                 7.2159,                 6.0427,                0.09901,             9.9802e-06,             9.9802e-06
                      2,                  3.141,                   3.72,                 3.9307,                0.00041,                 0.0875,                0.00036,                  8e-05,                 3.9003,                 8.0774,                 6.4691,                0.09802,             1.9921e-05,             1.9921e-05
                      3,                 2.8089,                 4.2558,                 3.7514,                0.00069,                   0.09,                0.00099,                 0.0002,                 4.0101,                 12.665,                 6.6917,                0.09703,             2.9822e-05,             2.9822e-05
                      4,                 2.8395,                 3.8704,                  3.843,                0.40071,                   0.05,                0.00029,                  6e-05,                 3.9788,                 28.404,                 6.3516,                0.09604,             3.9683e-05,             3.9683e-05
                      5,                 2.9415,                 3.6568,                 3.6062,                0.00011,                 0.0125,                  8e-05,                  4e-05,                 3.7778,                 11.213,                 5.2665,                0.09505,             4.9505e-05,             4.9505e-05
                      6,                 2.7567,                 3.5705,                 3.3098,                0.00016,                 0.0125,                 0.0001,                  7e-05,                 3.8146,                 9.2268,                 5.0873,               0.094059,             5.9287e-05,             5.9287e-05
                      7,                 2.8736,                 3.4242,                 3.3011,                0.00016,                 0.0125,                 0.0001,                  7e-05,                 3.9024,                 6.2873,                 5.2327,               0.093069,              6.903e-05,              6.903e-05
                      8,                 2.7547,                   3.33,                 3.2156,                0.00016,                 0.0125,                 0.0001,                  7e-05,                 3.9408,                 6.2722,                 5.7261,               0.092079,             7.8733e-05,             7.8733e-05
                      9,                 2.6895,                 3.4158,                 3.2206,                0.00022,                0.00714,                0.00026,                 0.0001,                 3.8323,                 5.0749,                 5.5478,               0.091088,             8.8396e-05,             8.8396e-05
                     10,                 2.8138,                 3.3694,                  3.076,                0.00022,                0.00714,                0.00026,                 0.0001,                 3.8418,                 5.1177,                 5.7563,               0.090098,              9.802e-05,              9.802e-05
                     11,                 2.8105,                 3.2964,                 3.0687,                0.00022,                0.00714,                0.00026,                 0.0001,                  4.004,                 5.7768,                 5.9302,               0.089108,              0.0001076,              0.0001076
                     12,                 2.8151,                 3.3742,                 3.0236,                0.00022,                0.00714,                0.00026,                 0.0001,                 4.0078,                 6.5266,                 5.3139,               0.088117,             0.00011715,             0.00011715
                     13,                 2.7276,                 3.1032,                 2.9049,                0.00022,                0.00714,                0.00026,                 0.0001,                  4.095,                  7.058,                 5.6485,               0.087127,             0.00012665,             0.00012665
                     14,                 2.7885,                 3.1361,                 2.9291,                0.00022,                0.00714,                0.00026,                 0.0001,                 4.2234,                 7.4224,                 5.7845,               0.086136,             0.00013612,             0.00013612
                     15,                 2.8541,                 3.2724,                  2.962,                0.00022,                0.00714,                0.00026,                 0.0001,                 4.3104,                   7.38,                 5.9016,               0.085146,             0.00014554,             0.00014554
                     16,                 2.6731,                 3.1427,                 2.9583,                0.00022,                0.00714,                0.00026,                 0.0001,                 4.2026,                 6.8485,                  5.417,               0.084155,             0.00015493,             0.00015493
                     17,                 2.8066,                 3.1921,                 2.9266,                  9e-05,                   0.08,                  7e-05,                  3e-05,                 4.3058,                 7.7263,                 5.4882,               0.083164,             0.00016428,             0.00016428
                     18,                 2.7143,                 3.0408,                 2.8814,                  9e-05,                   0.08,                  7e-05,                  3e-05,                  4.152,                 6.7397,                 5.2146,               0.082174,             0.00017358,             0.00017358
                     19,                 2.6414,                 3.0164,                 2.7945,                  9e-05,                   0.08,                  7e-05,                  3e-05,                 4.1205,                 7.1653,                 6.0718,               0.081183,             0.00018285,             0.00018285
                     20,                 2.7159,                 3.0331,                 2.8684,                  9e-05,                   0.08,                  7e-05,                  3e-05,                 4.0766,                 7.0594,                 5.7165,               0.080192,             0.00019208,             0.00019208
                     21,                  2.724,                 3.1889,                 2.9143,                  9e-05,                   0.08,                  7e-05,                  3e-05,                 4.0357,                 6.6675,                 6.0833,               0.079201,             0.00020127,             0.00020127
                     22,                 2.6996,                 3.0195,                 2.8902,                  9e-05,                   0.08,                  7e-05,                  3e-05,                 4.0507,                  7.098,                 6.0867,                0.07821,             0.00021042,             0.00021042
                     23,                 2.6584,                 3.0704,                 2.8549,                  9e-05,                   0.08,                  7e-05,                  3e-05,                 4.0186,                  8.342,                 5.1746,                0.07722,             0.00021953,             0.00021953
                     24,                 2.6845,                 3.0926,                 2.8363,                  9e-05,                   0.08,                  7e-05,                  3e-05,                 4.0705,                 8.3401,                 6.0735,               0.076229,              0.0002286,              0.0002286
                     25,                 2.6884,                 3.1019,                 2.8911,                0.00017,                   0.08,                0.00019,                  3e-05,                 4.0465,                 7.8309,                  5.579,               0.075238,             0.00023763,             0.00023763
                     26,                 2.6532,                 3.1636,                  2.798,                0.00017,                   0.08,                0.00019,                  3e-05,                 3.8353,                 7.4535,                 5.7775,               0.074247,             0.00024662,             0.00024662
                     27,                 2.5653,                 3.0333,                 2.7244,                0.00017,                   0.08,                0.00019,                  3e-05,                  3.797,                 5.8648,                 6.0123,               0.073256,             0.00025557,             0.00025557
                     28,                 2.6952,                 3.2665,                 2.7615,                0.00017,                   0.08,                0.00019,                  3e-05,                 3.7701,                 10.212,                 6.2484,               0.072264,             0.00026448,             0.00026448
                     29,                 2.6296,                 3.0841,                 2.7885,                0.00017,                   0.08,                0.00019,                  3e-05,                  3.797,                 21.234,                 6.4186,               0.071273,             0.00027335,             0.00027335
                     30,                 2.6307,                 2.9735,                 2.8293,                0.00017,                   0.08,                0.00019,                  3e-05,                 3.8182,                  6.956,                 6.0865,               0.070282,             0.00028218,             0.00028218
                     31,                 2.7247,                  3.002,                 2.7532,                0.00017,                   0.08,                0.00019,                  3e-05,                 3.9569,                 6.8833,                 5.5414,               0.069291,             0.00029097,             0.00029097
                     32,                 2.6798,                 2.9541,                 2.6896,                0.00017,                   0.08,                0.00019,                  3e-05,                 4.0433,                 16.082,                 5.8322,                 0.0683,             0.00029972,             0.00029972
                     33,                 2.7013,                 3.0337,                 2.7359,                0.00017,                   0.08,                0.00019,                  3e-05,                 4.1162,                 16.202,                 6.9039,               0.067308,             0.00030844,             0.00030844
                     34,                 2.6263,                 3.1568,                 2.8415,                0.00017,                   0.08,                0.00019,                  3e-05,                 4.1261,                 30.125,                  7.157,               0.066317,             0.00031711,             0.00031711
                     35,                 2.5659,                 2.9736,                 2.6901,                  8e-05,                   0.05,                  8e-05,                  4e-05,                 4.0289,                 6.4178,                 6.8935,               0.065326,             0.00032575,             0.00032575
                     36,                 2.6497,                 2.9289,                  2.768,                  8e-05,                   0.05,                  8e-05,                  4e-05,                 4.0269,                 5.8826,                 6.6099,               0.064334,             0.00033434,             0.00033434
                     37,                 2.4662,                 2.9012,                 2.7114,                  8e-05,                   0.05,                  8e-05,                  4e-05,                 4.0197,                  6.032,                 6.1243,               0.063343,             0.00034289,             0.00034289
                     38,                 2.5262,                 2.9855,                 2.6981,                0.00097,                   0.05,                0.00065,                0.00016,                 3.9806,                 6.4471,                 6.0392,               0.062351,             0.00035141,             0.00035141
                     39,                 2.6138,                 3.0082,                  2.661,                0.00111,                 0.0875,                 0.0009,                0.00016,                  3.991,                 6.7648,                 6.3872,                0.06136,             0.00035988,             0.00035988
                     40,                 2.6003,                  2.941,                 2.6967,                0.00057,                 0.0125,                0.00031,                  9e-05,                 4.0448,                 6.8033,                 6.8455,               0.060368,             0.00036832,             0.00036832
                     41,                 2.6224,                 2.9482,                  2.803,                0.00017,                   0.04,                0.00012,                  1e-05,                  3.989,                 7.7904,                 6.4665,               0.059377,             0.00037672,             0.00037672
                     42,                   2.68,                 2.8856,                 2.7731,                0.00017,                   0.04,                0.00012,                  1e-05,                 3.9746,                 7.3606,                 6.3465,               0.058385,             0.00038507,             0.00038507
                     43,                 2.5635,                 2.9034,                 2.7113,                0.00017,                   0.04,                0.00012,                  1e-05,                 3.8878,                 7.7131,                 6.2965,               0.057393,             0.00039339,             0.00039339
                     44,                 2.6279,                  2.952,                 2.6638,                0.00017,                   0.04,                0.00012,                  1e-05,                 3.9197,                  7.558,                 6.5998,               0.056402,             0.00040167,             0.00040167
                     45,                 2.6954,                 2.8285,                 2.6638,                0.00247,                 0.0125,                0.00187,                0.00037,                 3.8859,                 6.3612,                 6.5953,                0.05541,             0.00040991,             0.00040991
                     46,                 2.6173,                 2.9646,                 2.7111,                0.00208,                   0.05,                0.00151,                0.00036,                 3.9016,                 6.3857,                 6.7797,               0.054418,              0.0004181,              0.0004181
                     47,                 2.5664,                 2.8235,                 2.6892,                0.00029,                 0.0125,                0.00016,                  6e-05,                 3.8692,                 8.7491,                 5.9387,               0.053426,             0.00042626,             0.00042626
                     48,                 2.5328,                 2.7877,                  2.655,                 0.0001,                   0.08,                0.00018,                  5e-05,                 3.8191,                 7.2482,                   5.17,               0.052434,             0.00043438,             0.00043438
                     49,                 2.5879,                 2.8294,                 2.6642,                  5e-05,                   0.04,                  4e-05,                  1e-05,                 3.8257,                 7.4283,                 4.9377,               0.051442,             0.00044246,             0.00044246
                     50,                 2.5322,                 2.7639,                 2.7324,                0.20013,                   0.08,                  9e-05,                  1e-05,                 3.9861,                  34.98,                 5.0027,               0.050451,              0.0004505,              0.0004505
