                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1287,                 5.1158,                 4.3979,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1593,                    0.1,                      0,                      0
                      1,                 4.2302,                 5.1155,                 4.4236,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1593,                0.09901,             9.9901e-06,             9.9901e-06
                      2,                 4.0261,                 4.9582,                  4.384,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1592,                0.09802,              1.996e-05,              1.996e-05
                      3,                 4.1453,                 5.1139,                 4.3043,                      0,                      0,                      0,                      0,                  4.422,                 5.3774,                 4.1594,                0.09703,             2.9911e-05,             2.9911e-05
                      4,                 4.1008,                 5.0809,                  4.363,                      0,                      0,                      0,                      0,                 4.4222,                 5.3773,                 4.1597,                0.09604,             3.9842e-05,             3.9842e-05
                      5,                 4.3136,                 5.2264,                 4.3581,                      0,                      0,                      0,                      0,                 4.4216,                  5.377,                 4.1597,                0.09505,             4.9752e-05,             4.9752e-05
                      6,                 4.1104,                 5.0621,                 4.4084,                      0,                      0,                      0,                      0,                 4.4216,                 5.3771,                 4.1599,                0.09406,             5.9644e-05,             5.9644e-05
                      7,                 4.0175,                 4.9376,                 4.3598,                      0,                      0,                      0,                      0,                 4.0072,                 5.3502,                 3.5784,                0.09307,             6.9515e-05,             6.9515e-05
                      8,                 4.0094,                  4.848,                 3.8132,                0.00044,                  0.125,                0.00039,                0.00013,                 3.3385,                 5.3216,                 3.2933,               0.092079,             7.9366e-05,             7.9366e-05
                      9,                 3.7374,                 4.4588,                 3.7056,                0.00032,                 0.1125,                0.00276,                0.00057,                 3.5341,                 8.2111,                 3.4577,               0.091089,             8.9198e-05,             8.9198e-05
                     10,                 3.6936,                 4.1439,                 3.6054,                  9e-05,                0.02222,                  8e-05,                  3e-05,                 3.7059,                 83.042,                 4.0206,               0.090099,              9.901e-05,              9.901e-05
                     11,                 3.8727,                 3.9375,                 3.6799,                0.00018,                   0.05,                0.00012,                  1e-05,                 4.1201,                    inf,                 4.7313,               0.089109,              0.0001088,              0.0001088
                     12,                 3.6596,                 3.7656,                 3.4865,                  4e-05,                 0.0125,                  2e-05,                      0,                 4.2578,                    inf,                 5.7927,               0.088119,             0.00011857,             0.00011857
                     13,                 3.8706,                 4.0411,                 3.5928,                  4e-05,                 0.0125,                  2e-05,                      0,                 4.2659,                    inf,                 5.7317,               0.087128,             0.00012833,             0.00012833
                     14,                 3.7172,                 4.2111,                  3.486,                0.00036,                    0.1,                0.00036,                  7e-05,                 3.7788,                    inf,                 7.3612,               0.086138,             0.00013806,             0.00013806
                     15,                 3.5671,                 3.5958,                  3.561,                0.00036,                    0.1,                0.00033,                  7e-05,                 3.6426,                    inf,                 9.5978,               0.085148,             0.00014777,             0.00014777
                     16,                 3.5816,                 3.5896,                 3.7381,                0.00036,                    0.1,                0.00033,                0.00012,                 3.6016,                    inf,                 11.414,               0.084157,             0.00015747,             0.00015747
                     17,                 3.5501,                 3.5759,                 3.4775,                0.00036,                    0.1,                0.00034,                0.00018,                 3.4873,                    inf,                 13.817,               0.083167,             0.00016714,             0.00016714
                     18,                 3.5414,                 3.5315,                 3.3376,                0.00036,                    0.1,                0.00033,                0.00015,                 3.5183,                    inf,                  14.31,               0.082177,             0.00017679,             0.00017679
                     19,                 3.5847,                  3.477,                 3.4266,                 0.0005,                  0.075,                0.00079,                 0.0002,                 3.5982,                    inf,                 17.147,               0.081186,             0.00018643,             0.00018643
                     20,                 3.5945,                 3.4926,                 3.3918,                0.00061,                 0.0875,                0.00057,                0.00012,                 3.5647,                    inf,                 20.488,               0.080196,             0.00019604,             0.00019604
                     21,                 3.3719,                 3.3993,                  3.265,                0.00034,                   0.05,                0.00024,                  4e-05,                 3.7758,                    inf,                 11.464,               0.079206,             0.00020563,             0.00020563
                     22,                   3.23,                 3.4562,                  3.223,                 0.0002,                0.01111,                0.00013,                  4e-05,                 4.8853,                    inf,                 29.991,               0.078215,             0.00021521,             0.00021521
                     23,                 3.3244,                 3.5033,                 3.2913,                 0.0002,                0.01111,                0.00013,                  4e-05,                 4.7006,                    inf,                 34.196,               0.077225,             0.00022476,             0.00022476
                     24,                 3.2152,                 3.3513,                 3.1795,                0.00014,                0.01111,                  9e-05,                  3e-05,                 4.6166,                    inf,                 39.345,               0.076234,              0.0002343,              0.0002343
                     25,                 3.2642,                 3.3557,                 3.1192,                0.00014,                0.01111,                  9e-05,                  3e-05,                 4.6269,                    inf,                 39.987,               0.075244,             0.00024381,             0.00024381
