                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2373,                 4.3308,                 1.9628,                0.01779,                   0.09,                0.01315,                 0.0039,                  2.084,                 4.3945,                 1.7408,                    0.1,                      0,                      0
                      1,                  2.227,                 4.3661,                 1.9028,                0.01521,                   0.09,                0.01389,                0.00436,                 2.0914,                 4.4175,                 1.7393,                 0.0991,             9.9802e-05,             9.9802e-05
                      2,                 2.1586,                 4.2028,                 1.9333,                0.01578,                   0.09,                 0.0133,                0.00416,                 2.0982,                 4.4455,                 1.7329,               0.098199,             0.00019921,             0.00019921
                      3,                 2.1699,                 4.2892,                 1.9571,                0.01373,                   0.09,                0.01228,                0.00388,                 2.1064,                 4.4531,                 1.7437,               0.097298,             0.00029822,             0.00029822
                      4,                 2.1449,                 4.2816,                 1.9571,                0.01366,                   0.19,                0.01308,                0.00376,                 2.1004,                 4.4703,                 1.7344,               0.096397,             0.00039683,             0.00039683
                      5,                  2.178,                 4.3683,                 1.9626,                0.00594,                 0.2025,                 0.0096,                0.00315,                  2.043,                 4.4281,                 1.6966,               0.095495,             0.00049505,             0.00049505
                      6,                 2.1352,                 4.2901,                 1.9571,                0.00339,                 0.2775,                0.01606,                0.00606,                 1.9671,                 4.3781,                  1.659,               0.094593,             0.00059287,             0.00059287
                      7,                 2.0255,                  4.169,                 1.8777,                0.00245,                   0.29,                 0.0213,                0.01093,                 1.8474,                 4.2881,                  1.584,                0.09369,              0.0006903,              0.0006903
                      8,                 2.0718,                 4.2822,                 1.8809,                0.00244,                   0.29,                0.02334,                0.01153,                 1.8406,                 4.2989,                 1.5772,               0.092787,             0.00078733,             0.00078733
                      9,                 2.0236,                 4.2787,                 1.8686,                0.00139,                  0.275,                0.04229,                0.01929,                  1.738,                 4.2153,                  1.531,               0.091884,             0.00088396,             0.00088396
                     10,                 1.9106,                 4.1853,                 1.7689,                 0.0013,                 0.2875,                0.07417,                0.03725,                 1.6893,                 4.1483,                 1.5159,                0.09098,              0.0009802,              0.0009802
                     11,                 1.9974,                 4.2099,                 1.7856,                0.00128,                 0.2875,                0.10121,                 0.0518,                 1.6155,                 4.1181,                 1.4776,               0.090076,               0.001076,               0.001076
                     12,                 1.8349,                 4.1222,                 1.7153,                0.00124,                 0.2875,                0.12068,                0.05688,                 1.5688,                 4.0939,                 1.4762,               0.089171,              0.0011715,              0.0011715
                     13,                 1.8355,                 4.0625,                 1.6522,                0.00123,                 0.2875,                0.12179,                 0.0658,                  1.549,                 4.0836,                  1.441,               0.088267,              0.0012665,              0.0012665
                     14,                  1.731,                 4.0415,                 1.6195,                0.00122,                 0.2875,                 0.1325,                0.07174,                 1.5382,                 4.0617,                 1.4216,               0.087361,              0.0013612,              0.0013612
