                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0975,                 4.1254,                 3.8794,                0.95617,                   0.04,                0.05937,                0.02316,                  4.199,                 4.0967,                 3.8479,                    0.1,                      0,                      0
                      1,                 4.0406,                 4.2837,                 3.9082,                0.93923,                   0.04,                0.05935,                0.02336,                 4.1833,                 4.0992,                 3.8377,                0.09901,              9.967e-06,              9.967e-06
                      2,                 3.9851,                  4.192,                 3.8566,                0.95027,                   0.04,                0.05842,                0.02735,                 4.1697,                 4.0964,                 3.8296,                0.09802,             1.9868e-05,             1.9868e-05
                      3,                 3.9924,                 4.1233,                 3.8628,                0.94622,                   0.04,                0.05786,                0.03251,                 4.1586,                  4.068,                 3.8301,                0.09703,             2.9703e-05,             2.9703e-05
                      4,                  3.978,                 4.1953,                 3.8436,                0.93351,                   0.04,                0.06097,                0.03609,                 4.1513,                 4.0547,                 3.8305,               0.096039,             3.9472e-05,             3.9472e-05
                      5,                 4.1304,                 4.2602,                 3.9034,                0.94818,                   0.04,                0.06441,                0.03589,                 4.1465,                 4.0435,                 3.8241,               0.095049,             4.9175e-05,             4.9175e-05
                      6,                 4.1137,                 4.1886,                 3.8793,                0.96046,                   0.04,                0.06095,                0.03647,                 4.1504,                 4.0302,                 3.8156,               0.094059,             5.8812e-05,             5.8812e-05
                      7,                 4.0036,                 4.0966,                 3.8601,                 0.9504,                   0.04,                0.06012,                0.04009,                 4.1502,                 4.0254,                 3.8098,               0.093068,             6.8383e-05,             6.8383e-05
                      8,                 4.0856,                 4.1554,                 3.8155,                0.91744,                   0.04,                0.05916,                0.04003,                  4.142,                 4.0112,                 3.8062,               0.092078,             7.7888e-05,             7.7888e-05
                      9,                 3.8719,                 4.1638,                  3.839,                0.86777,                   0.04,                0.05914,                0.02858,                 4.1343,                 3.9855,                 3.8051,               0.091087,             8.7327e-05,             8.7327e-05
                     10,                 4.1571,                 4.1608,                 3.8848,                0.88706,                   0.04,                0.06152,                0.03334,                 4.1238,                 3.9578,                 3.8039,               0.090097,               9.67e-05,               9.67e-05
                     11,                 4.0743,                 4.1621,                 3.8971,                0.89284,                   0.04,                 0.0624,                0.03054,                 4.1118,                 3.9323,                 3.8037,               0.089106,             0.00010601,             0.00010601
                     12,                 4.0322,                 4.1409,                 3.8632,                0.71103,                0.08714,                0.06197,                 0.0301,                 4.1091,                 3.9282,                 3.7965,               0.088115,             0.00011525,             0.00011525
                     13,                 4.1575,                 4.1122,                 3.8355,                0.68191,                0.08714,                0.06559,                 0.0297,                 4.1143,                 3.9239,                  3.794,               0.087124,             0.00012442,             0.00012442
                     14,                 4.0326,                 4.1313,                 3.8445,                0.94854,                   0.04,                0.06339,                0.02897,                 4.1164,                 3.9137,                  3.784,               0.086134,             0.00013353,             0.00013353
                     15,                 4.1262,                 4.1676,                 3.8624,                0.95618,                   0.04,                0.06477,                0.02932,                 4.1055,                 3.8986,                 3.7769,               0.085143,             0.00014258,             0.00014258
                     16,                  4.045,                 4.0956,                 3.8532,                0.67983,                0.08623,                0.07911,                0.03656,                 4.0953,                 3.9041,                  3.769,               0.084152,             0.00015155,             0.00015155
                     17,                 4.1551,                 4.1531,                 3.8305,                0.67742,                0.10824,                0.07714,                0.02998,                  4.095,                 3.8979,                 3.7646,                0.08316,             0.00016046,             0.00016046
                     18,                 4.0016,                 4.1048,                 3.8116,                  0.672,                0.08247,                0.07639,                0.02591,                 4.1151,                 3.9118,                 3.7557,               0.082169,             0.00016931,             0.00016931
