                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5154,                 1.3762,                 1.7915,                0.78884,                0.50896,                0.60762,                0.27502,                 2.1738,                 2.1843,                 2.3407,                    0.1,                      0,                      0
                      1,                 1.6023,                 1.3833,                 1.8493,                0.80079,                  0.509,                0.60784,                0.27815,                 2.1773,                 2.1955,                 2.3435,               0.099001,             9.9802e-07,             9.9802e-07
                      2,                 1.6461,                  1.517,                 1.9317,                0.81234,                0.50909,                0.60816,                 0.2768,                 2.1677,                 2.1882,                 2.3401,               0.098002,             1.9921e-06,             1.9921e-06
                      3,                 1.6474,                 1.4888,                  1.917,                0.80384,                0.50918,                0.60852,                0.27549,                 2.1676,                 2.1953,                 2.3408,               0.097003,             2.9822e-06,             2.9822e-06
                      4,                 1.5514,                 1.4292,                 1.7789,                 0.8121,                0.50934,                 0.6106,                0.27437,                 2.1608,                 2.1947,                 2.3363,               0.096004,             3.9683e-06,             3.9683e-06
                      5,                 1.6795,                 1.5119,                 1.8731,                 0.8013,                0.51014,                0.60566,                0.26632,                  2.157,                 2.1948,                 2.3326,               0.095005,             4.9505e-06,             4.9505e-06
                      6,                 1.6013,                 1.4436,                 1.8575,                0.77148,                0.51431,                0.61658,                0.27039,                 2.1533,                 2.1932,                 2.3309,               0.094006,             5.9287e-06,             5.9287e-06
                      7,                 1.6109,                 1.4427,                 1.8462,                0.75882,                0.51958,                0.60774,                0.26831,                 2.1474,                 2.1906,                 2.3285,               0.093007,              6.903e-06,              6.903e-06
                      8,                 1.6219,                 1.4497,                 1.8439,                0.76069,                0.51656,                0.60742,                 0.2694,                 2.1372,                 2.1795,                 2.3232,               0.092008,             7.8733e-06,             7.8733e-06
                      9,                 1.5703,                 1.4871,                 1.8785,                0.75788,                0.52166,                0.61669,                0.26115,                 2.1325,                 2.1727,                 2.3218,               0.091009,             8.8396e-06,             8.8396e-06
                     10,                 1.6175,                 1.4436,                 1.8165,                0.75871,                0.52481,                0.61671,                0.26269,                 2.1342,                 2.1652,                 2.3225,                0.09001,              9.802e-06,              9.802e-06
                     11,                 1.6058,                 1.4457,                 1.8482,                0.76087,                0.52619,                0.61648,                  0.269,                 2.1322,                 2.1534,                 2.3209,               0.089011,              1.076e-05,              1.076e-05
                     12,                 1.6914,                 1.5366,                 1.8988,                0.75185,                0.52919,                0.61621,                0.26228,                 2.1362,                  2.148,                 2.3182,               0.088012,             1.1715e-05,             1.1715e-05
                     13,                 1.5677,                 1.4046,                 1.8193,                0.75316,                0.51858,                0.61615,                0.26409,                 2.1441,                 2.1337,                 2.3243,               0.087013,             1.2665e-05,             1.2665e-05
                     14,                 1.5763,                 1.4454,                 1.8298,                 0.7572,                0.51966,                0.61579,                0.25061,                 2.1519,                 2.1267,                 2.3256,               0.086014,             1.3612e-05,             1.3612e-05
                     15,                 1.6342,                 1.4634,                 1.8411,                0.74758,                0.52392,                0.61741,                0.25347,                  2.158,                 2.1216,                  2.329,               0.085015,             1.4555e-05,             1.4555e-05
                     16,                 1.6552,                 1.4875,                 1.9007,                 0.7508,                 0.5245,                0.61728,                0.25342,                  2.162,                 2.1169,                  2.328,               0.084015,             1.5493e-05,             1.5493e-05
                     17,                 1.5725,                 1.4016,                 1.7651,                0.75864,                0.52125,                0.60085,                0.24538,                 2.1587,                 2.1183,                 2.3273,               0.083016,             1.6428e-05,             1.6428e-05
                     18,                 1.5655,                 1.3709,                 1.8257,                0.74516,                  0.525,                0.59914,                0.24173,                 2.1652,                 2.1178,                 2.3312,               0.082017,             1.7358e-05,             1.7358e-05
                     19,                  1.595,                 1.4251,                 1.8252,                0.75635,                  0.525,                0.60458,                0.24328,                 2.1657,                 2.1198,                 2.3309,               0.081018,             1.8285e-05,             1.8285e-05
                     20,                 1.5974,                 1.5104,                 1.8893,                0.75512,                0.52489,                0.60506,                0.24765,                 2.1678,                 2.1192,                 2.3298,               0.080019,             1.9208e-05,             1.9208e-05
                     21,                 1.5092,                 1.4622,                 1.8162,                0.75313,                  0.525,                0.60526,                0.24769,                 2.1654,                 2.1225,                  2.331,                0.07902,             2.0127e-05,             2.0127e-05
                     22,                 1.5686,                 1.4777,                 1.8859,                0.74889,                  0.525,                0.60565,                0.24677,                 2.1628,                 2.1272,                 2.3291,               0.078021,             2.1042e-05,             2.1042e-05
                     23,                 1.5981,                 1.4742,                  1.857,                0.74697,                  0.525,                0.60684,                0.24744,                  2.169,                 2.1222,                 2.3338,               0.077022,             2.1953e-05,             2.1953e-05
                     24,                 1.6291,                 1.4576,                 1.8695,                0.74993,                  0.525,                   0.62,                0.24754,                 2.1684,                   2.12,                 2.3356,               0.076023,              2.286e-05,              2.286e-05
                     25,                 1.5283,                 1.4025,                 1.8269,                0.74294,                  0.525,                0.60101,                0.24412,                 2.1701,                   2.12,                 2.3364,               0.075024,             2.3763e-05,             2.3763e-05
                     26,                 1.6061,                  1.431,                 1.8162,                0.71773,                0.52699,                0.61812,                0.24979,                 2.1733,                 2.1199,                 2.3383,               0.074025,             2.4662e-05,             2.4662e-05
                     27,                 1.5964,                 1.3583,                 1.8499,                 0.7179,                0.52552,                0.61918,                0.25086,                 2.1755,                 2.1185,                 2.3396,               0.073026,             2.5557e-05,             2.5557e-05
                     28,                 1.6212,                 1.4194,                 1.8484,                0.76251,                0.51798,                0.60187,                0.24558,                 2.1776,                 2.1181,                 2.3403,               0.072026,             2.6448e-05,             2.6448e-05
                     29,                 1.5342,                 1.3601,                 1.7765,                0.76305,                0.51916,                0.59904,                0.24624,                 2.1821,                 2.1203,                  2.341,               0.071027,             2.7335e-05,             2.7335e-05
                     30,                 1.5917,                 1.4171,                  1.843,                0.73455,                  0.525,                0.59818,                0.24539,                 2.1829,                  2.125,                 2.3421,               0.070028,             2.8218e-05,             2.8218e-05
                     31,                 1.6138,                  1.415,                 1.7686,                0.73571,                  0.525,                0.59686,                0.24615,                 2.1917,                 2.1148,                 2.3501,               0.069029,             2.9097e-05,             2.9097e-05
                     32,                 1.5935,                 1.3607,                 1.7419,                0.73797,                  0.525,                 0.5937,                0.24524,                 2.1963,                 2.1125,                 2.3509,                0.06803,             2.9972e-05,             2.9972e-05
                     33,                  1.651,                 1.4541,                 1.8591,                 0.7336,                  0.525,                0.59613,                0.24477,                 2.1952,                 2.1064,                 2.3497,               0.067031,             3.0844e-05,             3.0844e-05
                     34,                 1.5737,                 1.4404,                 1.8647,                0.69698,                0.52461,                0.58837,                0.24177,                  2.199,                 2.1033,                 2.3526,               0.066032,             3.1711e-05,             3.1711e-05
                     35,                 1.6053,                 1.4026,                 1.8337,                 0.6813,                0.53632,                 0.5914,                0.24371,                 2.2042,                 2.1034,                 2.3555,               0.065033,             3.2575e-05,             3.2575e-05
                     36,                 1.6387,                 1.4532,                 1.8682,                 0.6846,                0.53779,                0.59045,                0.24399,                  2.209,                  2.105,                 2.3576,               0.064033,             3.3434e-05,             3.3434e-05
                     37,                 1.5819,                 1.4067,                 1.8071,                0.68991,                0.53744,                0.59001,                0.24674,                 2.2138,                 2.1105,                 2.3594,               0.063034,             3.4289e-05,             3.4289e-05
                     38,                 1.6293,                  1.535,                 1.9264,                0.69283,                0.53881,                0.59042,                0.24939,                 2.2138,                 2.1122,                 2.3586,               0.062035,             3.5141e-05,             3.5141e-05
                     39,                 1.6623,                  1.498,                 1.8531,                0.69443,                0.54302,                0.59076,                 0.2495,                 2.2121,                 2.1152,                  2.357,               0.061036,             3.5988e-05,             3.5988e-05
                     40,                 1.5899,                  1.454,                 1.8225,                0.69468,                0.54357,                0.60143,                0.25604,                 2.2111,                 2.1175,                 2.3572,               0.060037,             3.6832e-05,             3.6832e-05
                     41,                 1.6509,                 1.5288,                   1.92,                0.69796,                0.55554,                0.60318,                0.25643,                 2.2141,                 2.1144,                   2.36,               0.059038,             3.7672e-05,             3.7672e-05
                     42,                 1.6327,                 1.4748,                 1.8852,                0.69652,                0.54993,                 0.6036,                0.25674,                 2.2134,                 2.1134,                 2.3606,               0.058039,             3.8507e-05,             3.8507e-05
                     43,                 1.6498,                  1.489,                 1.8364,                0.69462,                0.54802,                 0.6043,                0.25688,                 2.2082,                 2.1108,                 2.3575,               0.057039,             3.9339e-05,             3.9339e-05
                     44,                 1.6224,                 1.4706,                 1.8473,                 0.6925,                0.54185,                0.60346,                0.25667,                 2.2117,                 2.1113,                 2.3584,                0.05604,             4.0167e-05,             4.0167e-05
                     45,                 1.6099,                 1.4299,                  1.822,                0.69011,                0.53468,                0.60244,                0.25536,                 2.2146,                 2.1105,                 2.3606,               0.055041,             4.0991e-05,             4.0991e-05
                     46,                 1.6507,                 1.4504,                 1.8797,                0.68963,                0.52833,                0.59164,                0.24718,                 2.2173,                 2.1119,                 2.3583,               0.054042,              4.181e-05,              4.181e-05
                     47,                  1.594,                 1.4269,                 1.8248,                0.68321,                 0.5263,                0.59141,                0.24685,                 2.2159,                 2.1118,                 2.3574,               0.053043,             4.2626e-05,             4.2626e-05
                     48,                 1.5456,                 1.3651,                 1.7926,                0.67816,                0.52469,                0.59069,                 0.2459,                 2.2141,                 2.1126,                 2.3585,               0.052043,             4.3438e-05,             4.3438e-05
                     49,                 1.6584,                 1.5059,                 1.9128,                0.67555,                0.51978,                0.59041,                0.24472,                 2.2122,                 2.1141,                 2.3569,               0.051044,             4.4246e-05,             4.4246e-05
                     50,                 1.6038,                 1.5427,                 1.9069,                0.67873,                0.51786,                0.58949,                0.24604,                 2.2116,                 2.1148,                 2.3552,               0.050045,              4.505e-05,              4.505e-05
                     51,                 1.6522,                 1.4409,                  1.832,                0.68312,                0.51786,                0.58976,                0.24359,                 2.2121,                 2.1175,                 2.3535,               0.049046,              4.585e-05,              4.585e-05
