                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.5839,                 4.9028,                 4.6686,                      0,                      0,                      0,                      0,                 4.1954,                 5.5219,                 4.1582,                    0.1,                      0,                      0
                      1,                 4.7749,                 4.9132,                 4.6613,                      0,                      0,                      0,                      0,                 4.1951,                 5.5202,                 4.1575,               0.099096,              9.604e-05,              9.604e-05
                      2,                 4.7452,                 4.7896,                 4.4836,                      0,                      0,                      0,                      0,                 4.1948,                 5.5178,                 4.1566,               0.098184,             0.00018416,             0.00018416
                      3,                 4.6676,                 4.9615,                 4.6572,                      0,                      0,                      0,                      0,                 4.1942,                 5.5168,                 4.1555,               0.097264,             0.00026436,             0.00026436
                      4,                 4.5192,                 4.8716,                 4.5211,                      0,                      0,                      0,                      0,                  4.194,                 5.5144,                 4.1542,               0.096337,             0.00033664,             0.00033664
                      5,                 4.6688,                 4.9586,                 4.4325,                      0,                      0,                      0,                      0,                  4.194,                 5.5115,                  4.153,               0.095401,               0.000401,               0.000401
                      6,                 4.7099,                 4.7996,                 4.4296,                      0,                      0,                      0,                      0,                  4.194,                 5.5083,                 4.1515,               0.094457,             0.00045744,             0.00045744
                      7,                 4.5025,                 4.8438,                 4.4075,                      0,                      0,                      0,                      0,                 4.1939,                 5.5045,                 4.1501,               0.093506,             0.00050596,             0.00050596
                      8,                 4.5526,                 5.0365,                 4.4566,                      0,                      0,                      0,                      0,                 4.1936,                 5.5008,                 4.1487,               0.092547,             0.00054656,             0.00054656
                      9,                  4.361,                 4.8076,                 4.4906,                      0,                      0,                      0,                      0,                 4.1933,                 5.4972,                  4.147,               0.091579,             0.00057924,             0.00057924
                     10,                 4.5545,                 4.7923,                  4.414,                      0,                      0,                      0,                      0,                 4.1929,                 5.4937,                 4.1453,               0.090604,               0.000604,               0.000604
                     11,                 5.1143,                 5.0557,                 4.4921,                      0,                      0,                      0,                      0,                 4.1925,                 5.4902,                 4.1438,               0.089621,             0.00062084,             0.00062084
                     12,                 4.7435,                 4.9571,                 4.3519,                      0,                      0,                      0,                      0,                  4.192,                 5.4864,                 4.1422,                0.08863,             0.00062976,             0.00062976
                     13,                  4.842,                 4.9104,                 4.3286,                      0,                      0,                      0,                      0,                 4.1916,                 5.4831,                 4.1405,               0.087631,             0.00063076,             0.00063076
                     14,                 4.6742,                 4.9314,                 4.3673,                      0,                      0,                      0,                      0,                 4.1912,                 5.4791,                 4.1387,               0.086624,             0.00062384,             0.00062384
                     15,                  4.756,                 5.3027,                 4.5744,                      0,                      0,                      0,                      0,                 4.1906,                 5.4758,                  4.137,               0.085609,               0.000609,               0.000609
                     16,                 4.8869,                 5.3526,                 4.4527,                      0,                      0,                      0,                      0,                 4.1901,                 5.4711,                 4.1352,               0.084586,             0.00058624,             0.00058624
                     17,                 4.4527,                 5.1511,                 4.4882,                      0,                      0,                      0,                      0,                 4.1901,                 5.4711,                 4.1352,               0.083556,             0.00055556,             0.00055556
                     18,                 4.7084,                 4.9486,                 4.3158,                      0,                      0,                      0,                      0,                 4.1894,                 5.4683,                 4.1335,               0.082517,             0.00051696,             0.00051696
                     19,                  4.867,                 5.1421,                 4.3908,                      0,                      0,                      0,                      0,                 4.1894,                 5.4683,                 4.1335,                0.08147,             0.00047044,             0.00047044
                     20,                 4.8304,                 5.3839,                 4.4867,                      0,                      0,                      0,                      0,                 4.1887,                 5.4659,                  4.132,               0.080416,               0.000416,               0.000416
                     21,                 4.5228,                 5.2156,                 4.4255,                      0,                      0,                      0,                      0,                 4.1887,                 5.4659,                  4.132,               0.079354,             0.00035364,             0.00035364
                     22,                 4.4479,                 5.2287,                 4.4296,                      0,                      0,                      0,                      0,                 4.1881,                 5.4628,                 4.1304,               0.078283,             0.00028336,             0.00028336
                     23,                  4.897,                 5.2676,                 4.3833,                      0,                      0,                      0,                      0,                 4.1881,                 5.4628,                 4.1304,               0.077205,             0.00020516,             0.00020516
                     24,                 4.7682,                 5.3785,                 4.2792,                      0,                      0,                      0,                      0,                 4.1874,                 5.4592,                  4.129,               0.076119,             0.00011904,             0.00011904
