                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2461,                 5.2299,                 2.0724,                0.67702,                0.02222,                 0.0312,                0.01569,                 2.2049,                 4.6503,                 2.0192,                 0.0964,                 0.0004,                 0.0004
                      1,                 2.3023,                 4.9219,                 2.0717,                0.23973,                0.03333,                0.04976,                0.02573,                 2.0688,                 4.4068,                 1.9117,               0.091898,             0.00089822,             0.00089822
                      2,                 2.1294,                 4.0438,                 2.0702,                 0.4374,                0.12879,                0.14424,                0.09301,                 1.6768,                  3.575,                  1.668,               0.087394,              0.0013945,              0.0013945
                      3,                 1.8587,                 3.1041,                   1.87,                0.41261,                0.15833,                0.16993,                0.11596,                 1.5647,                 3.2585,                 1.6116,               0.082889,              0.0018887,              0.0018887
                      4,                 1.7754,                  2.703,                 1.7682,                0.48375,                0.14583,                 0.2098,                 0.1463,                 1.5499,                  2.535,                  1.597,               0.078381,               0.002381,               0.002381
                      5,                 1.6005,                 2.3073,                 1.6583,                0.32093,                0.33176,                0.28541,                0.16497,                 1.4981,                 2.2764,                 1.5173,               0.073871,              0.0028713,              0.0028713
                      6,                 1.4337,                 2.0468,                 1.5097,                0.33687,                0.46028,                  0.398,                0.23732,                  1.526,                 1.9688,                 1.4822,                0.06936,              0.0033596,              0.0033596
                      7,                 1.3708,                 1.8207,                 1.4313,                0.56715,                0.45308,                0.42684,                0.24034,                  1.513,                 1.9247,                 1.4576,               0.064846,              0.0038459,              0.0038459
                      8,                 1.3434,                  1.636,                 1.3596,                0.54664,                0.46967,                0.40034,                  0.231,                  1.498,                 1.7765,                 1.4078,                0.06033,              0.0043303,              0.0043303
                      9,                 1.2496,                 1.5314,                 1.3659,                0.59798,                0.45647,                0.49258,                0.30001,                 1.4308,                 1.7232,                 1.3687,               0.055813,              0.0048127,              0.0048127
                     10,                  1.246,                 1.3971,                 1.3508,                0.55164,                0.44923,                0.51321,                0.30103,                  1.516,                 1.8722,                 1.3731,               0.051293,              0.0052931,              0.0052931
                     11,                 1.2794,                 1.5236,                  1.329,                0.63155,                0.46624,                 0.5074,                0.34643,                 1.4065,                 2.0109,                 1.3396,               0.046771,              0.0057715,              0.0057715
                     12,                 1.1963,                 1.5904,                 1.2835,                0.75375,                 0.4597,                0.52416,                0.33379,                 1.5078,                 1.8196,                 1.4651,               0.042248,              0.0062479,              0.0062479
                     13,                 1.0877,                 1.1196,                 1.2111,                0.45423,                0.59216,                0.56079,                0.32313,                 1.6158,                 1.6121,                 1.4613,               0.037722,              0.0067224,              0.0067224
                     14,                 1.1699,                 1.3185,                 1.2422,                0.45977,                 0.5244,                 0.5611,                0.34067,                 1.4832,                 1.5263,                 1.4053,               0.033195,              0.0071949,              0.0071949
