                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1316,                  3.495,                 3.3352,                0.00538,                0.01964,                0.00364,                0.00113,                 3.1704,                 2535.4,                 7.6214,                    0.1,                      0,                      0
                      1,                 3.8444,                 5.1249,                 4.0206,                0.00538,                0.01964,                0.00364,                0.00113,                 3.2654,                  22502,                 10.707,                0.09901,             9.9802e-06,             9.9802e-06
                      2,                 3.6133,                 4.9535,                 4.2072,                0.00112,                 0.0125,                0.00109,                0.00032,                 3.3565,                  60092,                 14.616,                0.09802,             1.9921e-05,             1.9921e-05
                      3,                 3.4977,                 4.5272,                 4.0294,                0.00112,                 0.0125,                0.00109,                0.00032,                 3.9185,                  90364,                 20.177,                0.09703,             2.9822e-05,             2.9822e-05
                      4,                 3.3656,                 4.2484,                 3.8849,                0.00112,                 0.0125,                0.00109,                0.00032,                 3.7881,             1.0833e+05,                 27.958,                0.09604,             3.9683e-05,             3.9683e-05
                      5,                 3.5288,                 4.2171,                 3.8138,                0.00112,                 0.0125,                0.00109,                0.00032,                 3.9715,             1.3005e+05,                 31.259,                0.09505,             4.9505e-05,             4.9505e-05
                      6,                  3.277,                 3.9567,                 3.8587,                0.00112,                 0.0125,                0.00109,                0.00032,                 3.5213,             1.0479e+05,                 36.577,               0.094059,             5.9287e-05,             5.9287e-05
                      7,                 3.4572,                 3.9442,                 4.0109,                0.00112,                 0.0125,                0.00109,                0.00032,                 3.5125,             1.2257e+05,                 42.038,               0.093069,              6.903e-05,              6.903e-05
                      8,                 3.2879,                 3.7721,                 3.6898,                0.00081,                 0.0125,                0.00043,                0.00013,                 3.8346,             1.1769e+05,                 48.853,               0.092079,             7.8733e-05,             7.8733e-05
                      9,                 3.3586,                 3.8361,                 3.7851,                0.00081,                 0.0125,                0.00043,                0.00013,                  3.972,             1.4495e+05,                 54.011,               0.091088,             8.8396e-05,             8.8396e-05
                     10,                 3.3064,                 3.6838,                 3.7287,                0.00081,                 0.0125,                0.00043,                0.00013,                 4.3479,             1.8788e+05,                 61.642,               0.090098,              9.802e-05,              9.802e-05
                     11,                 3.3693,                 3.6707,                 3.7006,                0.00081,                 0.0125,                0.00043,                0.00013,                 4.3425,               2.11e+05,                 73.498,               0.089108,              0.0001076,              0.0001076
                     12,                 3.3401,                 3.7304,                 3.4626,                0.00081,                 0.0125,                0.00043,                0.00013,                 3.8754,             2.0923e+05,                  98.32,               0.088117,             0.00011715,             0.00011715
                     13,                 3.1159,                  3.543,                 3.4312,                0.00081,                 0.0125,                0.00043,                0.00013,                  3.629,             1.9793e+05,                 102.71,               0.087127,             0.00012665,             0.00012665
                     14,                 3.2034,                 3.5329,                 3.4213,                0.00104,                 0.0125,                 0.0006,                0.00018,                 3.7074,             1.8126e+05,                 96.293,               0.086136,             0.00013612,             0.00013612
                     15,                 3.1871,                 3.6221,                 3.4206,                0.00104,                 0.0125,                 0.0006,                0.00018,                 3.6507,             1.6099e+05,                 103.62,               0.085146,             0.00014554,             0.00014554
                     16,                 3.0159,                 3.5719,                 3.2091,                0.00104,                 0.0125,                 0.0006,                0.00018,                 3.7957,             1.4007e+05,                 93.494,               0.084155,             0.00015493,             0.00015493
                     17,                 3.1268,                 3.4987,                 3.2483,                0.00104,                 0.0125,                 0.0006,                0.00018,                 3.8435,             1.2117e+05,                 75.542,               0.083164,             0.00016428,             0.00016428
                     18,                   2.95,                  3.466,                 3.2405,                0.00146,                   0.04,                0.00338,                0.00034,                 3.8992,             1.0419e+05,                 69.592,               0.082174,             0.00017358,             0.00017358
                     19,                 3.0703,                 3.5105,                 3.2177,                0.00104,                   0.04,                0.00069,                0.00034,                 3.7899,                  81342,                 58.188,               0.081183,             0.00018285,             0.00018285
                     20,                 2.9776,                 3.4416,                 3.2003,                0.00104,                   0.04,                0.00069,                0.00034,                 3.7396,                  78584,                 52.626,               0.080192,             0.00019208,             0.00019208
                     21,                 2.8638,                 3.4423,                 3.0948,                0.00104,                   0.04,                0.00069,                0.00034,                 3.7905,                  70485,                 47.548,               0.079201,             0.00020127,             0.00020127
                     22,                 3.0224,                 3.3503,                 3.1111,                0.00104,                   0.04,                0.00069,                0.00034,                 3.7173,                  60197,                 44.484,                0.07821,             0.00021042,             0.00021042
                     23,                 2.9068,                 3.2985,                 3.0433,                0.00104,                   0.04,                0.00069,                0.00034,                 3.8545,                  37348,                 31.427,                0.07722,             0.00021953,             0.00021953
                     24,                 2.9649,                 3.2517,                  3.156,                0.00043,                   0.05,                0.00041,                0.00017,                 3.9745,                  31267,                  25.49,               0.076229,              0.0002286,              0.0002286
                     25,                  2.909,                 3.4534,                 3.1223,                0.00043,                   0.05,                0.00041,                0.00017,                 4.0053,                  34743,                 26.183,               0.075238,             0.00023763,             0.00023763
                     26,                 2.9829,                 3.4412,                 3.0966,                0.00043,                   0.05,                0.00041,                0.00017,                 3.7517,                  35771,                  26.35,               0.074247,             0.00024662,             0.00024662
                     27,                 2.9221,                 3.3051,                 3.0054,                0.00043,                   0.05,                0.00041,                0.00017,                 3.8622,                  26609,                 20.584,               0.073256,             0.00025557,             0.00025557
                     28,                 2.9053,                 3.3086,                 2.9755,                0.00039,                   0.05,                0.00042,                0.00021,                 3.9105,                  21884,                  20.95,               0.072264,             0.00026448,             0.00026448
                     29,                 2.9018,                 3.2755,                 3.0181,                0.00082,                    0.1,                0.00143,                 0.0004,                 3.8032,                  21131,                 20.056,               0.071273,             0.00027335,             0.00027335
                     30,                 2.8556,                 3.1625,                   2.99,                0.00037,                   0.05,                0.00044,                  4e-05,                  3.815,                  19025,                 17.189,               0.070282,             0.00028218,             0.00028218
                     31,                 2.9774,                 3.3263,                 3.0367,                0.00037,                   0.05,                0.00044,                  4e-05,                   3.83,                  22766,                 15.608,               0.069291,             0.00029097,             0.00029097
                     32,                 2.9466,                 3.2924,                 2.9794,                0.00081,                0.00714,                0.00054,                  5e-05,                 3.7617,                  22590,                 13.409,                 0.0683,             0.00029972,             0.00029972
                     33,                 3.0544,                 3.4532,                 3.0826,                0.00081,                0.00714,                0.00051,                 0.0001,                 3.8187,                  21320,                 13.836,               0.067308,             0.00030844,             0.00030844
                     34,                  2.866,                 3.3648,                 3.0525,                0.00081,                0.00714,                0.00051,                 0.0001,                 3.9148,                  24298,                 15.278,               0.066317,             0.00031711,             0.00031711
