                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2549,                 2.4394,                  2.412,                0.01126,                   0.09,                 0.0051,                0.00051,                  3.965,                 350.29,                 6.0183,                    0.1,                      0,                      0
                      1,                 2.8302,                 4.8494,                 2.9215,                0.02072,                   0.09,                0.00855,                0.00246,                 4.0689,                 56.822,                 5.3927,                0.09901,             9.9802e-06,             9.9802e-06
                      2,                 3.3888,                 5.1536,                 3.9149,                 0.0299,                   0.05,                 0.0166,                0.00693,                 4.1014,                 15.622,                 6.2538,                0.09802,             1.9921e-05,             1.9921e-05
                      3,                 3.2454,                 3.6457,                  4.299,                0.00844,                   0.14,                0.04079,                 0.0122,                  4.021,                 9.3919,                 6.8034,                0.09703,             2.9822e-05,             2.9822e-05
                      4,                 2.9851,                 3.5497,                 4.1727,                0.02236,                   0.14,                0.04841,                0.01924,                 4.0954,                 15.051,                 6.8881,                0.09604,             3.9683e-05,             3.9683e-05
                      5,                 2.9412,                 3.4177,                 3.7448,                0.00135,                   0.09,                0.00434,                0.00162,                 4.1226,                  15.19,                 6.9745,                0.09505,             4.9505e-05,             4.9505e-05
                      6,                 2.6131,                 2.9876,                 3.2662,                0.00902,                   0.04,                0.00397,                0.00079,                  3.859,                 54.063,                 6.5691,               0.094059,             5.9287e-05,             5.9287e-05
                      7,                 2.6955,                 3.0354,                 3.2842,                0.00197,                   0.04,                0.00146,                0.00029,                  3.652,                 120.43,                 6.4478,               0.093069,              6.903e-05,              6.903e-05
                      8,                 2.5954,                 3.0525,                 3.1188,                0.00081,                   0.04,                0.00032,                  7e-05,                 3.6479,                 190.07,                 6.8899,               0.092079,             7.8733e-05,             7.8733e-05
                      9,                 2.5367,                 2.8675,                 3.2641,                0.00054,                   0.04,                0.00037,                  7e-05,                 3.7027,                 345.45,                  6.184,               0.091088,             8.8396e-05,             8.8396e-05
                     10,                 2.6235,                 2.8652,                 3.1026,                0.00015,                   0.04,                0.00036,                  4e-05,                 4.3724,                 747.87,                  6.427,               0.090098,              9.802e-05,              9.802e-05
                     11,                  2.615,                 2.8233,                 3.0911,                0.00013,                   0.04,                0.00031,                  3e-05,                 4.4371,                 939.25,                 6.3849,               0.089108,              0.0001076,              0.0001076
                     12,                 2.6069,                  2.878,                 2.9882,                0.00025,                   0.04,                0.00034,                  7e-05,                 4.4068,                 748.07,                 5.8765,               0.088117,             0.00011715,             0.00011715
                     13,                 2.4865,                 2.6265,                 2.9088,                0.00021,                   0.04,                0.00018,                  4e-05,                 4.2485,                 455.11,                 5.4734,               0.087127,             0.00012665,             0.00012665
                     14,                 2.5067,                 2.7025,                 2.8455,                0.00017,                   0.04,                0.00015,                  3e-05,                 4.4268,                 474.52,                 5.7924,               0.086136,             0.00013612,             0.00013612
                     15,                 2.4789,                 2.5968,                 2.7693,                0.00017,                   0.04,                0.00016,                  3e-05,                 4.3744,                 534.86,                 5.6021,               0.085146,             0.00014554,             0.00014554
                     16,                 2.4848,                 2.5932,                 2.6806,                0.00013,                   0.04,                 0.0001,                  4e-05,                 4.2917,                 959.11,                 5.5714,               0.084155,             0.00015493,             0.00015493
                     17,                 2.4047,                 2.5288,                 2.5831,                0.00017,                   0.04,                 0.0001,                  3e-05,                 4.3305,                 760.44,                  5.738,               0.083164,             0.00016428,             0.00016428
                     18,                 2.3968,                 2.4108,                 2.5295,                0.00013,                   0.04,                  8e-05,                  2e-05,                 4.2857,                 518.97,                 5.7081,               0.082174,             0.00017358,             0.00017358
                     19,                 2.4315,                 2.4723,                 2.5268,                0.00011,                   0.04,                  8e-05,                  3e-05,                 4.2388,                 451.72,                 5.9759,               0.081183,             0.00018285,             0.00018285
                     20,                 2.2877,                  2.468,                 2.4994,                0.00017,                   0.04,                 0.0001,                  1e-05,                  4.327,                 240.78,                 6.5004,               0.080192,             0.00019208,             0.00019208
                     21,                 2.2133,                 2.3739,                  2.467,                0.00033,                   0.04,                0.00021,                  8e-05,                 4.4206,                 112.16,                 8.1337,               0.079201,             0.00020127,             0.00020127
                     22,                 2.2107,                 2.3212,                 2.4682,                0.00022,                   0.04,                0.00014,                  3e-05,                 4.5134,                  71.33,                  9.464,                0.07821,             0.00021042,             0.00021042
                     23,                 2.3035,                 2.3983,                 2.4513,                0.00022,                   0.04,                0.00014,                  3e-05,                  4.494,                 57.176,                 9.6643,                0.07722,             0.00021953,             0.00021953
                     24,                 2.2926,                  2.319,                 2.4368,                0.00022,                   0.04,                0.00014,                  3e-05,                 4.4571,                 81.024,                 9.1192,               0.076229,              0.0002286,              0.0002286
                     25,                 2.3117,                 2.4808,                 2.5038,                0.00022,                   0.04,                0.00014,                  3e-05,                 4.3846,                 211.68,                 8.3503,               0.075238,             0.00023763,             0.00023763
                     26,                 2.3314,                 2.3024,                  2.457,                0.00022,                   0.04,                0.00014,                  3e-05,                 4.3905,                  642.7,                 6.6179,               0.074247,             0.00024662,             0.00024662
                     27,                 2.2771,                 2.3052,                  2.366,                0.00017,                   0.04,                 0.0001,                  1e-05,                 4.3621,                 297.68,                 5.9157,               0.073256,             0.00025557,             0.00025557
                     28,                 2.3281,                 2.3727,                  2.395,                0.00018,                   0.04,                0.00014,                  6e-05,                 4.3319,                 419.28,                 5.7896,               0.072264,             0.00026448,             0.00026448
                     29,                 2.2401,                 2.2239,                 2.3272,                0.00013,                   0.04,                0.00018,                  7e-05,                  4.346,                 895.87,                 6.4851,               0.071273,             0.00027335,             0.00027335
                     30,                  2.249,                 2.2545,                 2.3649,                0.00048,                   0.04,                0.00032,                0.00013,                 4.3489,                 415.56,                 6.2214,               0.070282,             0.00028218,             0.00028218
                     31,                 2.2669,                 2.2719,                 2.2693,                0.00077,                   0.08,                0.00072,                0.00033,                 4.2965,                 155.62,                 5.6891,               0.069291,             0.00029097,             0.00029097
                     32,                 2.3138,                 2.2781,                 2.2463,                0.00101,                   0.08,                0.00091,                0.00035,                  4.151,                 72.295,                 5.5393,                 0.0683,             0.00029972,             0.00029972
                     33,                  2.352,                   2.33,                 2.3971,                0.00089,                   0.08,                0.00056,                0.00024,                 3.8429,                 29.705,                 4.9784,               0.067308,             0.00030844,             0.00030844
                     34,                 2.2901,                 2.3373,                 2.4306,                0.20059,                   0.08,                0.00045,                0.00018,                 4.1389,                 14.583,                 5.9022,               0.066317,             0.00031711,             0.00031711
                     35,                 2.3227,                 2.3653,                 2.3326,                 0.0001,                   0.04,                0.00011,                  5e-05,                 4.1731,                 8.2874,                 5.8417,               0.065326,             0.00032575,             0.00032575
                     36,                 2.3342,                  2.323,                 2.4074,                0.00017,                   0.04,                 0.0002,                  6e-05,                 4.0534,                 7.8123,                 5.1799,               0.064334,             0.00033434,             0.00033434
                     37,                 2.2827,                 2.2511,                 2.3564,                 0.0003,                 0.0525,                 0.0002,                  5e-05,                 4.1441,                 7.9967,                 5.5949,               0.063343,             0.00034289,             0.00034289
                     38,                 2.2725,                 2.3712,                 2.4502,                 0.0002,                   0.04,                0.00044,                0.00024,                   4.27,                 10.856,                 6.0394,               0.062351,             0.00035141,             0.00035141
                     39,                 2.3104,                 2.3603,                 2.3311,                0.00017,                   0.04,                0.00044,                0.00029,                 4.2999,                 8.8673,                 5.5675,                0.06136,             0.00035988,             0.00035988
                     40,                 2.1734,                 2.3126,                 2.2659,                0.00042,                   0.12,                0.00065,                0.00029,                 4.0732,                 7.2634,                 4.9136,               0.060368,             0.00036832,             0.00036832
                     41,                 2.2464,                   2.28,                 2.3746,                0.00039,                 0.0525,                0.00024,                0.00014,                 4.0494,                 7.3442,                 5.0481,               0.059377,             0.00037672,             0.00037672
                     42,                  2.203,                 2.2987,                 2.3243,                0.00039,                 0.0525,                0.00024,                0.00014,                 4.0461,                 6.9225,                 5.0966,               0.058385,             0.00038507,             0.00038507
                     43,                 2.2739,                 2.2111,                 2.3176,                0.00034,                 0.0375,                0.00023,                  5e-05,                 4.0381,                 6.9664,                 5.1384,               0.057393,             0.00039339,             0.00039339
                     44,                 2.2679,                 2.2644,                 2.3097,                0.00016,                 0.0375,                0.00012,                  2e-05,                 4.1223,                  7.067,                 5.6427,               0.056402,             0.00040167,             0.00040167
