                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.209,                 3.0339,                 3.2677,                0.00386,                0.05429,                0.04104,                0.01635,                 3.6484,                 187.93,                 6.3097,                    0.1,                      0,                      0
                      1,                 3.6854,                 4.8281,                 3.9506,                0.02688,                 0.0525,                0.00824,                0.00384,                 3.8961,                 8307.8,                 10.472,                0.09901,             9.9802e-06,             9.9802e-06
                      2,                 3.7731,                 4.8868,                 4.2157,                0.00111,                 0.0125,                0.00066,                0.00013,                 4.0908,                  25680,                 16.976,                0.09802,             1.9921e-05,             1.9921e-05
                      3,                 3.5668,                 4.8194,                 3.8014,                0.00111,                 0.0125,                0.00066,                0.00013,                 4.2044,                  26606,                  26.15,                0.09703,             2.9822e-05,             2.9822e-05
                      4,                 3.4471,                 4.4896,                 3.6535,                0.00111,                 0.0125,                0.00066,                0.00013,                 4.0335,                  57397,                 28.562,                0.09604,             3.9683e-05,             3.9683e-05
                      5,                 3.6818,                 4.2734,                 3.7033,                0.00111,                 0.0125,                0.00066,                0.00013,                 4.1866,                  78011,                  42.52,                0.09505,             4.9505e-05,             4.9505e-05
                      6,                  3.346,                 3.9873,                 3.6342,                0.00111,                 0.0125,                0.00066,                0.00013,                  3.733,                  78363,                 73.079,               0.094059,             5.9287e-05,             5.9287e-05
                      7,                 3.3049,                 3.9201,                 3.6573,                0.00111,                 0.0125,                0.00066,                0.00013,                 3.8132,             1.0974e+05,                 97.041,               0.093069,              6.903e-05,              6.903e-05
                      8,                 3.2431,                   3.73,                  3.532,                0.00111,                 0.0125,                0.00066,                0.00013,                 3.8502,             1.9823e+05,                  113.9,               0.092079,             7.8733e-05,             7.8733e-05
                      9,                 3.2921,                 3.5946,                 3.6052,                0.00111,                 0.0125,                0.00066,                0.00013,                 3.8365,             1.7601e+05,                 106.26,               0.091088,             8.8396e-05,             8.8396e-05
                     10,                 3.3832,                 3.6591,                 3.5403,                0.00111,                 0.0125,                0.00066,                0.00013,                 4.0211,             1.6479e+05,                 124.25,               0.090098,              9.802e-05,              9.802e-05
                     11,                 3.2906,                 3.6459,                  3.408,                0.00111,                 0.0125,                0.00066,                0.00013,                 3.6424,             1.5256e+05,                 120.74,               0.089108,              0.0001076,              0.0001076
                     12,                 3.3563,                 3.5959,                 3.3305,                0.00111,                 0.0125,                0.00066,                0.00013,                 3.7484,             1.3359e+05,                 117.94,               0.088117,             0.00011715,             0.00011715
                     13,                 3.1973,                 3.4174,                 3.2806,                0.00111,                 0.0125,                0.00066,                0.00013,                 4.0525,             1.5768e+05,                 150.03,               0.087127,             0.00012665,             0.00012665
                     14,                 3.1825,                  3.431,                  3.345,                0.00111,                 0.0125,                0.00066,                0.00013,                  4.254,             1.7087e+05,                 168.32,               0.086136,             0.00013612,             0.00013612
                     15,                 3.2478,                 3.4986,                 3.3335,                0.00111,                 0.0125,                0.00066,                0.00013,                 4.1111,             1.7458e+05,                 163.68,               0.085146,             0.00014554,             0.00014554
