                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 4.2637,                   4.79,                  4.118,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3263,                 4.8896,                 4.0095,               0.033597,             0.00059704,             0.00059704
                     34,                 4.0742,                 4.7102,                 4.0989,                0.00011,                   0.04,                  7e-05,                  1e-05,                 4.3228,                 4.8832,                 4.0056,               0.031613,             0.00061258,             0.00061258
                     35,                 4.2287,                 4.5975,                  4.098,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3196,                  4.877,                 4.0016,               0.029628,             0.00062799,             0.00062799
                     36,                 4.1323,                 4.7285,                 4.0516,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3166,                 4.8717,                 3.9982,               0.027643,             0.00064328,             0.00064328
                     37,                   3.97,                 4.7157,                 4.0861,                 0.0001,                   0.04,                  7e-05,                  1e-05,                  4.314,                 4.8671,                 3.9949,               0.025658,             0.00065843,             0.00065843
                     38,                 3.6328,                 4.8648,                 4.0765,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3127,                 4.8629,                 3.9918,               0.023673,             0.00067344,             0.00067344
                     39,                 4.0898,                 4.8194,                 4.1221,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3107,                   4.86,                 3.9876,               0.021688,             0.00068833,             0.00068833
                     40,                 4.1626,                 4.8041,                 4.0599,                 0.0001,                   0.04,                  8e-05,                  2e-05,                 4.3086,                 4.8562,                 3.9836,               0.019703,             0.00070308,             0.00070308
                     41,                   3.87,                   4.58,                 4.0797,                 0.0001,                   0.04,                  8e-05,                  2e-05,                 4.3066,                 4.8534,                 3.9799,               0.017718,              0.0007177,              0.0007177
                     42,                 3.8355,                 4.6769,                 4.0923,                 0.0001,                   0.04,                  8e-05,                  2e-05,                 4.3046,                 4.8503,                 3.9763,               0.015732,             0.00073219,             0.00073219
                     43,                 3.7146,                 4.6198,                 4.0589,                 0.0001,                   0.04,                  9e-05,                  2e-05,                 4.3027,                 4.8475,                 3.9728,               0.013747,             0.00074655,             0.00074655
                     44,                 3.9339,                 4.9505,                 4.0341,                 0.0001,                   0.04,                  9e-05,                  2e-05,                 4.2996,                  4.846,                 3.9709,               0.011761,             0.00076077,             0.00076077
                     45,                 3.9682,                 4.6659,                 4.0384,                 0.0001,                   0.04,                  9e-05,                  2e-05,                 4.2981,                 4.8434,                 3.9692,              0.0097749,             0.00077487,             0.00077487
                     46,                 3.9969,                 4.5593,                 4.0649,                0.00011,                   0.04,                 0.0001,                  2e-05,                  4.297,                 4.8409,                 3.9676,              0.0077888,             0.00078883,             0.00078883
                     47,                 4.1658,                 4.6057,                 4.0864,                0.00011,                   0.04,                 0.0001,                  2e-05,                 4.2962,                 4.8384,                 3.9663,              0.0058027,             0.00080265,             0.00080265
                     48,                 3.8101,                 4.9227,                  4.056,                 0.0001,                   0.04,                 0.0001,                  2e-05,                 4.2959,                 4.8363,                 3.9646,              0.0038164,             0.00081635,             0.00081635
                     49,                 3.8153,                 4.7362,                 4.0319,                0.00011,                   0.04,                  9e-05,                  2e-05,                 4.2963,                 4.8331,                 3.9644,              0.0018299,             0.00082992,             0.00082992
                     50,                 3.8527,                 4.5721,                 4.0263,                 0.0001,                   0.04,                  9e-05,                  2e-05,                 4.2964,                 4.8288,                 3.9623,               0.000835,               0.000835,               0.000835
                     51,                 4.0476,                 4.5447,                 4.0212,                 0.0001,                   0.04,                  9e-05,                  2e-05,                 4.2979,                 4.8212,                 3.9608,               0.000835,               0.000835,               0.000835
                     52,                 3.8878,                 4.6715,                 4.0527,                 0.0001,                   0.04,                 0.0001,                  2e-05,                 4.2988,                 4.8122,                 3.9598,              0.0008317,              0.0008317,              0.0008317
                     53,                  3.856,                 4.6819,                 4.0231,                 0.0001,                   0.04,                0.00014,                  3e-05,                 4.2985,                  4.804,                 3.9596,              0.0008284,              0.0008284,              0.0008284
                     54,                 3.8798,                 4.6438,                 4.0312,                0.00156,                0.04714,                0.00102,                 0.0002,                 4.2995,                 4.7914,                 3.9589,              0.0008251,              0.0008251,              0.0008251
                     55,                 4.0182,                  4.481,                 4.0221,                0.00115,                0.04714,                 0.0008,                0.00016,                 4.3011,                 4.7727,                  3.959,              0.0008218,              0.0008218,              0.0008218
                     56,                 3.6784,                 4.4211,                 4.0483,                0.00083,                0.04714,                0.00092,                0.00018,                 4.2992,                 4.7507,                 3.9588,              0.0008185,              0.0008185,              0.0008185
                     57,                 3.5891,                 4.6799,                 4.0192,                 0.0018,                0.06143,                0.00153,                0.00033,                 4.3042,                 4.7283,                 3.9592,              0.0008152,              0.0008152,              0.0008152
                     58,                  3.722,                 4.5122,                 4.0281,                0.00191,                0.06143,                0.00151,                0.00033,                 4.3023,                 4.7229,                 3.9556,              0.0008119,              0.0008119,              0.0008119
                     59,                 3.9487,                 4.5646,                 4.0271,                0.00181,                0.10143,                0.02105,                0.00227,                 4.3025,                 4.7079,                 3.9551,              0.0008086,              0.0008086,              0.0008086
                     60,                 3.7384,                 4.4999,                 4.0381,                0.00202,                0.07393,                0.00185,                0.00034,                 4.3011,                 4.6814,                 3.9549,              0.0008053,              0.0008053,              0.0008053
                     61,                 3.7244,                 4.6503,                 4.0301,                0.00213,                0.11393,                0.00724,                0.00091,                 4.3009,                 4.6658,                 3.9534,               0.000802,               0.000802,               0.000802
                     62,                 3.7421,                 4.3756,                 4.0575,                0.00209,                0.11393,                0.00949,                0.00117,                 4.2871,                 4.6487,                 3.9494,              0.0007987,              0.0007987,              0.0007987
                     63,                 3.8719,                 4.5329,                 3.9939,                0.00233,                0.11393,                0.00569,                0.00084,                 4.2832,                 4.6479,                 3.9461,              0.0007954,              0.0007954,              0.0007954
                     64,                 3.9289,                  4.362,                 4.0147,                0.00227,                0.07393,                0.00272,                0.00054,                 4.2847,                 4.6343,                 3.9437,              0.0007921,              0.0007921,              0.0007921
                     65,                 3.8977,                  4.441,                 4.0222,                0.00235,                0.11393,                 0.0066,                0.00095,                 4.2809,                  4.627,                 3.9484,              0.0007888,              0.0007888,              0.0007888
