                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2104,                 3.0373,                 3.2693,                0.45362,                0.23654,                0.19538,                 0.0765,                 2.9237,                 3.1982,                 3.1451,                    0.1,                      0,                      0
                      1,                 3.1681,                 3.0228,                 3.2487,                0.48793,                0.24803,                0.20793,                0.08078,                 2.9215,                 3.1826,                 3.1427,                0.09901,             9.9802e-06,             9.9802e-06
                      2,                 3.1561,                 3.1072,                 3.2841,                0.49107,                0.24499,                0.20106,                0.07158,                 2.9231,                 3.1705,                 3.1412,                0.09802,             1.9921e-05,             1.9921e-05
                      3,                 3.1088,                 3.0615,                 3.2495,                0.46393,                0.21367,                0.18887,                0.06498,                 2.9259,                 3.1617,                  3.142,                0.09703,             2.9822e-05,             2.9822e-05
                      4,                  3.032,                 3.0522,                 3.2149,                0.49669,                0.20771,                0.18533,                0.06323,                  2.924,                 3.1451,                  3.139,                0.09604,             3.9683e-05,             3.9683e-05
                      5,                  3.272,                 3.0922,                 3.2421,                 0.4381,                0.20929,                0.17475,                0.05957,                 2.9254,                 3.1355,                 3.1353,                0.09505,             4.9505e-05,             4.9505e-05
                      6,                 3.1579,                 3.0289,                 3.2355,                0.44045,                0.20929,                0.17381,                0.05998,                 2.9317,                 3.1307,                 3.1383,               0.094059,             5.9287e-05,             5.9287e-05
                      7,                  3.123,                 3.0434,                 3.2254,                0.46053,                0.20929,                0.17165,                0.05984,                 2.9377,                 3.1187,                 3.1351,               0.093069,              6.903e-05,              6.903e-05
                      8,                 3.1265,                 3.0174,                 3.2007,                0.47463,                0.20929,                0.19246,                0.07121,                 2.9316,                 3.1044,                 3.1305,               0.092079,             7.8733e-05,             7.8733e-05
                      9,                 3.1326,                 3.1827,                 3.2681,                 0.4641,                0.20929,                0.18396,                0.06591,                 2.9287,                 3.0971,                 3.1283,               0.091088,             8.8396e-05,             8.8396e-05
                     10,                 3.2537,                 3.0339,                 3.2147,                0.44736,                0.20929,                0.18366,                0.06553,                  2.931,                 3.0792,                 3.1287,               0.090098,              9.802e-05,              9.802e-05
                     11,                 3.2192,                 3.0478,                 3.2532,                0.48015,                0.20286,                0.18357,                0.06509,                 2.9354,                 3.0508,                 3.1253,               0.089108,              0.0001076,              0.0001076
                     12,                 3.2528,                 3.1485,                 3.2763,                0.51889,                0.20187,                 0.2043,                0.07095,                 2.9349,                 3.0391,                 3.1237,               0.088117,             0.00011715,             0.00011715
                     13,                 3.2126,                 3.0579,                 3.2271,                0.50781,                0.20592,                0.20192,                0.07494,                 2.9377,                 3.0212,                 3.1256,               0.087127,             0.00012665,             0.00012665
                     14,                 3.1917,                 3.0592,                 3.2111,                0.51135,                0.20648,                0.20456,                0.07424,                 2.9453,                 3.0073,                 3.1212,               0.086136,             0.00013612,             0.00013612
                     15,                 3.1713,                 3.1089,                 3.2489,                0.47191,                0.21643,                0.18445,                0.06655,                 2.9474,                 3.0275,                 3.1238,               0.085146,             0.00014554,             0.00014554
                     16,                 3.1151,                  2.995,                  3.238,                0.44681,                0.21643,                 0.1674,                0.05841,                  2.949,                 3.0283,                 3.1218,               0.084155,             0.00015493,             0.00015493
