                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.107,                 4.3639,                 1.8834,                0.00756,                   0.19,                0.00997,                0.00333,                 2.0914,                  4.468,                 1.7252,                 0.0964,                 0.0004,                 0.0004
                      1,                 2.1849,                 4.3722,                 1.9174,                0.00376,                 0.2525,                  0.015,                0.00739,                 1.9905,                 4.3734,                 1.6633,               0.091898,             0.00089822,             0.00089822
                      2,                  2.045,                 4.2951,                 1.9161,                 0.0014,                 0.2875,                0.06385,                0.03338,                  1.648,                 4.1846,                 1.5186,               0.087394,              0.0013945,              0.0013945
                      3,                 1.8465,                 4.1105,                 1.7018,                0.00128,                 0.2875,                0.11271,                0.06096,                 1.4952,                 4.1105,                 1.4283,               0.082889,              0.0018887,              0.0018887
                      4,                 1.7724,                 3.9532,                 1.6513,                0.00133,                 0.2875,                0.14434,                0.09141,                 1.5271,                 4.0339,                 1.3941,               0.078381,               0.002381,               0.002381
                      5,                  1.687,                 3.7662,                 1.5906,                0.00134,                 0.2875,                0.14338,                0.09128,                 1.4773,                 3.9848,                 1.3702,               0.073871,              0.0028713,              0.0028713
                      6,                 1.6357,                 3.5099,                 1.5118,                0.00704,                0.43861,                 0.1331,                0.06434,                 1.5832,                   3.81,                  1.368,                0.06936,              0.0033596,              0.0033596
                      7,                 1.5371,                 3.1853,                 1.4111,                0.97423,                0.08481,                0.13877,                0.06856,                 1.5881,                 3.6114,                 1.3864,               0.064846,              0.0038459,              0.0038459
                      8,                 1.6003,                  3.052,                 1.4265,                0.95076,                 0.1125,                0.14124,                0.07701,                 1.4944,                 3.4668,                 1.3275,                0.06033,              0.0043303,              0.0043303
                      9,                 1.4504,                 2.7832,                 1.4111,                0.96466,                  0.125,                0.15413,                0.08586,                 1.3921,                 3.4474,                 1.2657,               0.055813,              0.0048127,              0.0048127
                     10,                 1.5376,                  2.809,                 1.4545,                0.97814,                0.10202,                0.20581,                0.12317,                 1.4209,                 3.3514,                 1.2871,               0.051293,              0.0052931,              0.0052931
                     11,                 1.5643,                 2.6444,                 1.4252,                0.90056,                0.10119,                0.29071,                 0.1541,                  1.658,                 3.3943,                  1.372,               0.046771,              0.0057715,              0.0057715
                     12,                 1.4889,                 2.4948,                 1.3678,                0.95567,                0.08783,                0.28325,                0.17834,                 1.5291,                 3.1955,                 1.2999,               0.042248,              0.0062479,              0.0062479
                     13,                 1.4123,                 2.3073,                 1.3169,                0.87377,                  0.225,                0.36499,                 0.1936,                 1.6931,                 3.1214,                 1.4179,               0.037722,              0.0067224,              0.0067224
