                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0741,                 4.0997,                 3.8606,                0.93662,                   0.04,                0.05958,                0.03963,                 4.1382,                 4.0139,                 3.8066,                    0.1,                      0,                      0
                      1,                 4.0361,                 4.2368,                 3.8889,                0.92473,                   0.04,                0.05979,                0.03927,                 4.1382,                 4.0093,                 3.8012,                0.09901,             9.9802e-06,             9.9802e-06
                      2,                 3.9738,                 4.1595,                 3.8378,                0.93357,                   0.04,                0.05869,                0.03908,                 4.1396,                 3.9978,                 3.7989,                0.09802,             1.9921e-05,             1.9921e-05
                      3,                 3.9747,                 4.0955,                 3.8439,                0.90217,                   0.04,                0.06476,                0.03973,                 4.1391,                 3.9884,                 3.7954,                0.09703,             2.9822e-05,             2.9822e-05
                      4,                 3.9622,                 4.1584,                 3.8212,                0.88669,                   0.04,                0.06572,                0.04105,                 4.1364,                 3.9746,                 3.7946,                0.09604,             3.9683e-05,             3.9683e-05
                      5,                 4.1235,                 4.2284,                 3.8881,                0.89331,                   0.04,                0.06652,                0.04184,                 4.1272,                 3.9592,                 3.7926,                0.09505,             4.9505e-05,             4.9505e-05
                      6,                 4.1109,                 4.1611,                 3.8598,                0.89347,                   0.04,                0.05956,                0.04014,                  4.122,                 3.9494,                 3.7922,               0.094059,             5.9287e-05,             5.9287e-05
                      7,                 3.9937,                 4.0713,                 3.8418,                0.88794,                   0.04,                0.05875,                0.03625,                  4.128,                 3.9546,                 3.7863,               0.093069,              6.903e-05,              6.903e-05
                      8,                 4.0651,                 4.1315,                 3.7927,                0.88624,                   0.04,                0.05938,                0.03682,                 4.1369,                 3.9551,                 3.7802,               0.092079,             7.8733e-05,             7.8733e-05
                      9,                 3.8639,                 4.1359,                 3.8177,                0.91653,                   0.04,                0.06431,                0.03047,                 4.1379,                 3.9448,                  3.778,               0.091088,             8.8396e-05,             8.8396e-05
                     10,                 4.1532,                   4.14,                 3.8663,                0.78212,                0.08714,                 0.0669,                0.03115,                 4.1394,                 3.9434,                 3.7771,               0.090098,              9.802e-05,              9.802e-05
                     11,                 4.0657,                 4.1376,                 3.8782,                0.84759,                   0.08,                0.06952,                0.03291,                 4.1356,                 3.9394,                 3.7776,               0.089108,              0.0001076,              0.0001076
                     12,                 4.0144,                 4.1128,                 3.8453,                0.86867,                   0.08,                0.07207,                 0.0287,                 4.1357,                 3.9308,                 3.7734,               0.088117,             0.00011715,             0.00011715
                     13,                 4.1415,                 4.0804,                 3.8161,                0.76615,                0.08714,                0.06546,                0.03127,                 4.1141,                  3.903,                 3.7709,               0.087127,             0.00012665,             0.00012665
                     14,                 4.0275,                 4.1174,                 3.8232,                0.48115,                0.08714,                0.06588,                0.03014,                 4.1171,                 3.8997,                   3.77,               0.086136,             0.00013612,             0.00013612
                     15,                  4.116,                 4.1451,                 3.8419,                0.44914,                0.08714,                0.04648,                0.01964,                 4.1194,                 3.9011,                 3.7633,               0.085146,             0.00014554,             0.00014554
