                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1287,                 5.1158,                 4.3979,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1593,                    0.1,                      0,                      0
                      1,                 4.2302,                 5.1155,                 4.4236,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1593,                0.09901,              9.998e-06,              9.998e-06
                      2,                 4.0261,                 4.9582,                  4.384,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1592,                0.09802,             1.9992e-05,             1.9992e-05
                      3,                 4.1453,                 5.1139,                 4.3043,                      0,                      0,                      0,                      0,                  4.422,                 5.3774,                 4.1594,                0.09703,             2.9982e-05,             2.9982e-05
                      4,                 4.1008,                 5.0809,                  4.363,                      0,                      0,                      0,                      0,                 4.4222,                 5.3773,                 4.1597,                0.09604,             3.9968e-05,             3.9968e-05
                      5,                 4.3136,                 5.2264,                 4.3581,                      0,                      0,                      0,                      0,                 4.4216,                  5.377,                 4.1597,                0.09505,             4.9951e-05,             4.9951e-05
                      6,                 4.1104,                 5.0621,                 4.4084,                      0,                      0,                      0,                      0,                 4.4216,                 5.3771,                 4.1599,                0.09406,             5.9929e-05,             5.9929e-05
                      7,                 4.0175,                 4.9376,                 4.3598,                      0,                      0,                      0,                      0,                 4.4199,                 5.3743,                 4.1587,                0.09307,             6.9903e-05,             6.9903e-05
                      8,                 4.3161,                 5.2546,                  4.326,                      0,                      0,                      0,                      0,                 4.4185,                 5.3655,                 4.1566,                0.09208,             7.9873e-05,             7.9873e-05
                      9,                 4.1129,                 5.1376,                 4.4192,                      0,                      0,                      0,                      0,                 4.4171,                 5.3644,                 4.1547,                0.09109,              8.984e-05,              8.984e-05
                     10,                 4.1367,                 5.1132,                 4.3346,                      0,                      0,                      0,                      0,                 4.4122,                  5.358,                  4.152,                 0.0901,             9.9802e-05,             9.9802e-05
                     11,                 4.0568,                 5.0975,                 4.3785,                      0,                      0,                      0,                      0,                 4.4119,                 5.3494,                 4.1495,                0.08911,             0.00010976,             0.00010976
                     12,                 4.2147,                 5.0988,                 4.2686,                      0,                      0,                      0,                      0,                 4.4064,                 5.0793,                 4.1461,                0.08812,             0.00011971,             0.00011971
                     13,                 4.1398,                 5.1001,                 4.2925,                      0,                      0,                      0,                      0,                 4.4017,                 4.9414,                 4.1426,                0.08713,             0.00012967,             0.00012967
                     14,                 4.2472,                 5.1722,                 4.3373,                      0,                      0,                      0,                      0,                 4.4007,                 4.9372,                 4.1391,                0.08614,             0.00013961,             0.00013961
                     15,                 4.1226,                 4.9984,                 4.3088,                      0,                      0,                      0,                      0,                 4.3957,                 4.7924,                 4.1353,                0.08515,             0.00014955,             0.00014955
                     16,                 4.1175,                 5.1321,                 4.2619,                      0,                      0,                      0,                      0,                 4.3935,                 4.7866,                 4.1316,               0.084159,             0.00015949,             0.00015949
                     17,                 4.1406,                 4.9225,                 4.3153,                      0,                      0,                      0,                      0,                 4.3891,                 4.7767,                 4.1277,               0.083169,             0.00016943,             0.00016943
