                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9907,                 5.0854,                 4.2809,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3744,                 5.2502,                 4.1355,                    0.1,                      0,                      0
                      1,                 3.9607,                 5.0684,                 4.3029,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3765,                  5.239,                 4.1333,                0.09901,              9.967e-06,              9.967e-06
                      2,                 3.8695,                 5.0603,                 4.3119,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3777,                 5.2286,                 4.1313,                0.09802,             1.9868e-05,             1.9868e-05
                      3,                 3.8698,                 5.1324,                 4.2939,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3787,                 5.2156,                  4.129,                0.09703,             2.9703e-05,             2.9703e-05
                      4,                 3.8563,                 5.2734,                 4.3354,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3793,                 5.2036,                 4.1265,               0.096039,             3.9472e-05,             3.9472e-05
                      5,                 4.0578,                 5.0205,                 4.2669,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3808,                 5.1936,                 4.1238,               0.095049,             4.9175e-05,             4.9175e-05
                      6,                 3.9844,                 5.1339,                 4.2884,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3802,                 5.1809,                 4.1212,               0.094059,             5.8812e-05,             5.8812e-05
                      7,                 3.9246,                 4.9695,                 4.2759,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3794,                 5.1681,                 4.1184,               0.093068,             6.8383e-05,             6.8383e-05
                      8,                 4.0153,                 5.0614,                 4.2168,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3781,                 5.1549,                 4.1146,               0.092078,             7.7888e-05,             7.7888e-05
                      9,                 3.8184,                 5.0955,                 4.2984,                 0.0001,                   0.04,                  7e-05,                  1e-05,                  4.377,                 5.1399,                 4.1113,               0.091087,             8.7327e-05,             8.7327e-05
                     10,                 4.0174,                 5.0474,                 4.3104,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3762,                 5.1276,                 4.1085,               0.090097,               9.67e-05,               9.67e-05
                     11,                 3.9641,                 5.0755,                  4.268,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3754,                 5.1164,                 4.1058,               0.089106,             0.00010601,             0.00010601
                     12,                 3.9283,                 5.1048,                 4.2401,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3747,                 5.1057,                 4.1032,               0.088115,             0.00011525,             0.00011525
                     13,                 4.0564,                 5.0122,                  4.232,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3736,                 5.0936,                    4.1,               0.087124,             0.00012442,             0.00012442
                     14,                  3.923,                 4.9613,                   4.21,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3736,                 5.0786,                  4.096,               0.086134,             0.00013353,             0.00013353
                     15,                 4.0774,                   5.06,                 4.2357,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3733,                 5.0641,                 4.0923,               0.085143,             0.00014258,             0.00014258
                     16,                 3.9916,                 4.8847,                  4.195,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3739,                 5.0471,                 4.0876,               0.084152,             0.00015155,             0.00015155
                     17,                 4.0843,                 4.9009,                 4.2082,                 0.0001,                   0.04,                  6e-05,                  1e-05,                 4.3748,                 5.0346,                 4.0824,                0.08316,             0.00016046,             0.00016046
                     18,                 3.9756,                 4.9531,                 4.2356,                 0.0001,                   0.04,                  6e-05,                  1e-05,                 4.3721,                 5.0236,                 4.0787,               0.082169,             0.00016931,             0.00016931
                     19,                  3.923,                 4.9847,                 4.1765,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3702,                 5.0133,                 4.0752,               0.081178,             0.00017809,             0.00017809
                     20,                 3.8228,                 4.9355,                  4.251,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3685,                  5.004,                 4.0725,               0.080187,              0.0001868,              0.0001868
                     21,                 3.7761,                 4.9484,                 4.1805,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3663,                 4.9939,                 4.0685,               0.079195,             0.00019545,             0.00019545
                     22,                 3.8977,                 4.9106,                 4.1796,                 0.0001,                   0.04,                  8e-05,                  1e-05,                 4.3642,                 4.9844,                 4.0648,               0.078204,             0.00020403,             0.00020403
                     23,                 4.0224,                 4.9355,                 4.2056,                 0.0001,                   0.04,                  8e-05,                  1e-05,                 4.3621,                 4.9754,                 4.0609,               0.077213,             0.00021254,             0.00021254
                     24,                 3.9495,                  4.862,                 4.1524,                 0.0001,                   0.04,                  8e-05,                  1e-05,                 4.3597,                 4.9655,                 4.0568,               0.076221,             0.00022099,             0.00022099
                     25,                 3.9525,                 4.8773,                 4.1762,                 0.0001,                   0.04,                  8e-05,                  1e-05,                 4.3572,                 4.9565,                 4.0521,               0.075229,             0.00022937,             0.00022937
                     26,                 3.8825,                  4.881,                 4.1673,                 0.0001,                   0.04,                  8e-05,                  1e-05,                 4.3549,                 4.9477,                 4.0484,               0.074238,             0.00023769,             0.00023769
                     27,                  3.999,                 4.8331,                 4.1531,                 0.0001,                   0.04,                  8e-05,                  1e-05,                 4.3525,                 4.9395,                 4.0438,               0.073246,             0.00024594,             0.00024594
                     28,                 3.9592,                 4.8685,                 4.1471,                 0.0001,                   0.04,                  8e-05,                  1e-05,                 4.3493,                  4.931,                 4.0394,               0.072254,             0.00025413,             0.00025413
                     29,                 3.8389,                 4.7914,                 4.1515,                 0.0001,                   0.04,                  8e-05,                  1e-05,                 4.3463,                 4.9227,                 4.0353,               0.071262,             0.00026225,             0.00026225
                     30,                  3.887,                 4.7766,                 4.1436,                 0.0001,                   0.04,                  8e-05,                  2e-05,                  4.344,                 4.9149,                 4.0309,                0.07027,              0.0002703,              0.0002703
                     31,                  3.945,                 4.8048,                 4.1342,                 0.0001,                   0.04,                  8e-05,                  2e-05,                 4.3412,                 4.9068,                  4.027,               0.069278,             0.00027829,             0.00027829
                     32,                 4.1068,                 4.8306,                 4.1453,                 0.0001,                   0.04,                  8e-05,                  2e-05,                 4.3383,                 4.8997,                 4.0222,               0.068286,             0.00028621,             0.00028621
                     33,                 4.0695,                 4.8259,                 4.1416,                 0.0001,                   0.04,                  8e-05,                  2e-05,                 4.3352,                 4.8927,                 4.0175,               0.067294,             0.00029406,             0.00029406
                     34,                 3.9649,                  4.786,                 4.0995,                 0.0001,                   0.04,                  8e-05,                  2e-05,                 4.3317,                 4.8855,                 4.0132,               0.066302,             0.00030185,             0.00030185
                     35,                 4.1015,                 4.6845,                 4.0892,                 0.0001,                   0.04,                  8e-05,                  2e-05,                 4.3279,                 4.8786,                 4.0088,                0.06531,             0.00030957,             0.00030957
                     36,                 3.8461,                 4.7175,                 4.0916,                 0.0001,                   0.04,                  9e-05,                  2e-05,                 4.3247,                 4.8725,                 4.0042,               0.064317,             0.00031723,             0.00031723
                     37,                 3.8516,                 4.7633,                  4.108,                 0.0001,                   0.04,                  9e-05,                  2e-05,                 4.3215,                 4.8661,                      4,               0.063325,             0.00032482,             0.00032482
                     38,                 3.7282,                 4.7604,                 4.0853,                 0.0001,                   0.04,                  9e-05,                  2e-05,                  4.319,                 4.8601,                 3.9947,               0.062332,             0.00033235,             0.00033235
                     39,                 4.0164,                   4.82,                 4.0619,                 0.0001,                   0.04,                  9e-05,                  2e-05,                 4.3162,                 4.8535,                 3.9901,                0.06134,             0.00033981,             0.00033981
                     40,                 3.8908,                 4.7736,                 4.0836,                 0.0001,                   0.04,                  9e-05,                  2e-05,                 4.3138,                 4.8478,                 3.9836,               0.060347,              0.0003472,              0.0003472
                     41,                 3.8735,                 4.7033,                 4.0652,                 0.0001,                   0.04,                  9e-05,                  2e-05,                 4.3107,                 4.8425,                 3.9784,               0.059355,             0.00035453,             0.00035453
