                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2104,                 3.0373,                 3.2693,                0.45362,                0.23654,                0.19538,                 0.0765,                 2.9237,                 3.1982,                 3.1451,                    0.1,                      0,                      0
                      1,                 3.1681,                 3.0228,                 3.2487,                0.49184,                0.24252,                0.20887,                0.07976,                 2.9214,                 3.1808,                 3.1406,                 0.0991,             9.9802e-05,             9.9802e-05
                      2,                 3.1557,                 3.1068,                 3.2841,                0.51515,                0.19679,                0.20324,                0.07419,                 2.9292,                 3.1881,                 3.1457,               0.098199,             0.00019921,             0.00019921
                      3,                 3.1072,                 3.0583,                 3.2496,                0.75031,                0.15679,                0.15919,                0.05546,                 2.9376,                 3.1916,                 3.1434,               0.097298,             0.00029822,             0.00029822
                      4,                 3.0301,                 3.0466,                 3.2114,                0.78611,                0.14429,                0.16602,                0.06348,                 2.9486,                 3.2221,                 3.1456,               0.096397,             0.00039683,             0.00039683
                      5,                 3.2696,                 3.0893,                  3.238,                0.80063,                0.13179,                0.16286,                0.06003,                 2.9493,                 3.2173,                 3.1369,               0.095495,             0.00049505,             0.00049505
                      6,                 3.1527,                   3.02,                   3.23,                 0.7438,                0.13179,                0.14346,                0.05736,                 2.9702,                 3.2825,                 3.1522,               0.094593,             0.00059287,             0.00059287
                      7,                 3.1179,                 3.0335,                 3.2244,                0.37275,                0.16929,                0.11768,                0.04439,                  2.968,                 3.2797,                 3.1243,                0.09369,              0.0006903,              0.0006903
                      8,                 3.1152,                 2.9981,                 3.1911,                0.11325,                0.20857,                0.14266,                0.04966,                 2.9781,                 3.2254,                 3.1073,               0.092787,             0.00078733,             0.00078733
                      9,                 3.1136,                 3.1535,                 3.2629,                0.14877,                0.28809,                0.13083,                   0.04,                 3.0454,                 3.2389,                 3.1067,               0.091884,             0.00088396,             0.00088396
                     10,                 3.2508,                 3.0283,                 3.2086,                 0.1149,                0.30571,                0.14028,                0.04197,                 2.9923,                 3.3035,                 3.1166,                0.09098,              0.0009802,              0.0009802
                     11,                  3.191,                 3.0061,                 3.2324,                0.10896,                0.31821,                0.14832,                0.04311,                 2.9772,                 3.2737,                 3.1172,               0.090076,               0.001076,               0.001076
                     12,                 3.2444,                 3.1265,                 3.2696,                0.43638,                0.18015,                 0.1857,                0.05883,                 2.9163,                 3.5441,                 3.1452,               0.089171,              0.0011715,              0.0011715
                     13,                 3.1885,                 3.0238,                 3.2044,                0.42936,                0.17643,                0.18775,                0.06126,                 2.9376,                 3.6658,                 3.2079,               0.088267,              0.0012665,              0.0012665
                     14,                 3.1841,                 3.0373,                 3.2037,                0.41483,                0.16431,                0.18634,                0.06805,                 2.9135,                  3.461,                  3.158,               0.087361,              0.0013612,              0.0013612
                     15,                 3.1333,                 3.0809,                 3.2244,                0.40119,                0.15676,                0.15125,                0.05484,                 2.9216,                 3.4526,                 3.1831,               0.086455,              0.0014555,              0.0014555
                     16,                 3.1027,                 2.9644,                 3.2219,                0.37825,                0.25235,                0.14484,                0.04723,                 2.9218,                 3.4674,                 3.1519,               0.085549,              0.0015493,              0.0015493
