                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5154,                 1.3762,                 1.7915,                0.78884,                0.50896,                0.60762,                0.27502,                 2.1738,                 2.1843,                 2.3407,                    0.1,                      0,                      0
                      1,                 1.6023,                 1.3833,                 1.8493,                0.80124,                0.50911,                0.60797,                0.27819,                 2.1765,                 2.1946,                 2.3429,                0.09901,             9.9802e-06,             9.9802e-06
                      2,                 1.6461,                 1.5169,                 1.9317,                0.81278,                0.50909,                0.60808,                0.27294,                 2.1645,                  2.188,                 2.3378,                0.09802,             1.9921e-05,             1.9921e-05
                      3,                 1.6471,                 1.4884,                 1.9167,                0.80352,                0.50918,                0.60834,                 0.2715,                 2.1596,                  2.193,                 2.3357,                0.09703,             2.9822e-05,             2.9822e-05
                      4,                 1.5503,                 1.4284,                 1.7781,                0.79648,                0.51043,                0.61608,                 0.2705,                 2.1513,                 2.1866,                 2.3295,                0.09604,             3.9683e-05,             3.9683e-05
                      5,                 1.6778,                   1.51,                 1.8715,                0.77598,                0.51988,                0.61645,                0.26918,                 2.1489,                 2.1848,                 2.3284,                0.09505,             4.9505e-05,             4.9505e-05
                      6,                  1.599,                 1.4415,                  1.856,                0.77136,                0.52298,                0.60807,                0.27053,                 2.1401,                 2.1846,                 2.3274,               0.094059,             5.9287e-05,             5.9287e-05
                      7,                 1.6074,                 1.4417,                 1.8444,                0.73952,                0.52236,                0.60952,                0.26527,                 2.1275,                 2.1813,                 2.3199,               0.093069,              6.903e-05,              6.903e-05
                      8,                 1.6185,                 1.4467,                 1.8409,                0.74696,                0.52389,                0.62332,                0.26822,                 2.1226,                  2.172,                 2.3166,               0.092079,             7.8733e-05,             7.8733e-05
                      9,                 1.5637,                 1.4824,                 1.8747,                0.73956,                 0.5278,                0.61791,                0.25994,                 2.1249,                 2.1709,                 2.3155,               0.091088,             8.8396e-05,             8.8396e-05
