                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1287,                 5.1158,                 4.3979,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1593,                    0.1,                      0,                      0
                      1,                 4.2302,                 5.1155,                 4.4236,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1593,                0.09901,             9.9901e-06,             9.9901e-06
                      2,                 4.0261,                 4.9582,                  4.384,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1592,                0.09802,              1.996e-05,              1.996e-05
                      3,                 4.1453,                 5.1139,                 4.3043,                      0,                      0,                      0,                      0,                  4.422,                 5.3774,                 4.1594,                0.09703,             2.9911e-05,             2.9911e-05
                      4,                 4.1008,                 5.0809,                  4.363,                      0,                      0,                      0,                      0,                 4.4222,                 5.3773,                 4.1597,                0.09604,             3.9842e-05,             3.9842e-05
                      5,                 4.3136,                 5.2264,                 4.3581,                      0,                      0,                      0,                      0,                 4.4216,                  5.377,                 4.1597,                0.09505,             4.9752e-05,             4.9752e-05
                      6,                 4.1104,                 5.0621,                 4.4084,                      0,                      0,                      0,                      0,                 4.4216,                 5.3771,                 4.1599,                0.09406,             5.9644e-05,             5.9644e-05
                      7,                 4.0175,                 4.9376,                 4.3598,                      0,                      0,                      0,                      0,                 4.0075,                 5.3577,                 3.5781,                0.09307,             6.9515e-05,             6.9515e-05
                      8,                 4.0088,                 4.8482,                 3.8132,                0.00044,                  0.125,                0.00037,                0.00013,                 3.3438,                 5.3245,                 3.2867,               0.092079,             7.9366e-05,             7.9366e-05
                      9,                 3.7461,                 4.4599,                 3.7179,                0.00099,                   0.15,                0.00129,                0.00037,                 3.5174,                  7.631,                 3.4726,               0.091089,             8.9198e-05,             8.9198e-05
                     10,                 3.7061,                 4.1459,                 3.6172,                0.00018,                0.04444,                0.00012,                  3e-05,                 3.7229,                 58.857,                 4.0505,               0.090099,              9.901e-05,              9.901e-05
                     11,                 3.8852,                 3.9285,                  3.767,                0.00018,                   0.05,                0.00022,                  3e-05,                 4.1333,                    inf,                 4.7008,               0.089109,              0.0001088,              0.0001088
                     12,                 3.6611,                 3.8087,                 3.4845,                  4e-05,                 0.0125,                  2e-05,                      0,                 4.2773,                    inf,                 5.1839,               0.088119,             0.00011857,             0.00011857
                     13,                 3.8798,                 4.0293,                 3.6261,                  4e-05,                 0.0125,                  2e-05,                  1e-05,                 4.2735,                    inf,                 5.1429,               0.087128,             0.00012833,             0.00012833
                     14,                  3.726,                 4.1578,                  3.479,                0.00031,                 0.0875,                0.00029,                  7e-05,                 3.7433,                    inf,                 5.8491,               0.086138,             0.00013806,             0.00013806
                     15,                 3.6146,                 3.7197,                 3.5335,                0.00036,                    0.1,                0.00033,                  8e-05,                 3.8152,                    inf,                 9.0112,               0.085148,             0.00014777,             0.00014777
                     16,                  3.597,                 3.6301,                 3.6844,                0.00036,                    0.1,                0.00033,                0.00014,                 3.7586,                    inf,                 11.097,               0.084157,             0.00015747,             0.00015747
                     17,                 3.6167,                 3.6161,                 3.5496,                0.00036,                    0.1,                0.00036,                0.00017,                 3.6746,                    inf,                 13.027,               0.083167,             0.00016714,             0.00016714
                     18,                 3.5991,                 3.5516,                 3.5183,                0.00036,                    0.1,                0.00032,                 0.0001,                 3.7417,                    inf,                 12.217,               0.082177,             0.00017679,             0.00017679
                     19,                 3.5703,                 3.5394,                 3.4591,                 0.0005,                  0.075,                0.00071,                0.00019,                 3.7161,                    inf,                 15.714,               0.081186,             0.00018643,             0.00018643
                     20,                 3.6469,                 3.4576,                  3.408,                0.00043,                 0.0625,                0.00043,                0.00016,                 3.6643,                    inf,                 13.453,               0.080196,             0.00019604,             0.00019604
                     21,                 3.4625,                 3.6256,                 3.3427,                 0.0005,                  0.075,                0.00086,                 0.0002,                 3.6622,                    inf,                 12.846,               0.079206,             0.00020563,             0.00020563
                     22,                 3.4108,                 3.6974,                 3.2456,                0.00067,                    0.1,                0.00088,                0.00028,                 3.4501,                    inf,                 13.495,               0.078215,             0.00021521,             0.00021521
                     23,                 3.4749,                 3.6014,                 3.3888,                0.00068,                    0.1,                0.00067,                 0.0002,                 3.5335,                    inf,                 14.842,               0.077225,             0.00022476,             0.00022476
                     24,                 3.2583,                 3.4037,                 3.3024,                0.00054,                 0.0875,                0.00046,                0.00017,                 3.5017,                    inf,                 13.586,               0.076234,              0.0002343,              0.0002343
                     25,                 3.3311,                 3.3306,                 3.2484,                0.00061,                 0.0625,                0.00062,                0.00016,                 3.7732,                    inf,                 15.606,               0.075244,             0.00024381,             0.00024381
